ticker,company,app_category,country,quarter,quarter_end,metric,value,currency,period_type
NESN.SW,Nestlé,Food,Switzerland,FY 2025,2025-12-31,EBITDA,16207000000.0,CHF,annual
NESN.SW,Nestlé,Food,Switzerland,FY 2024,2024-12-31,EBITDA,18662000000.0,CHF,annual
NESN.SW,Nestlé,Food,Switzerland,FY 2023,2023-12-31,EBITDA,17804000000.0,CHF,annual
NESN.SW,Nestlé,Food,Switzerland,FY 2022,2022-12-31,EBITDA,16076000000.0,CHF,annual
NESN.SW,Nestlé,Food,Switzerland,FY 2025,2025-12-31,Net Income,9033000000.0,CHF,annual
NESN.SW,Nestlé,Food,Switzerland,FY 2024,2024-12-31,Net Income,10884000000.0,CHF,annual
NESN.SW,Nestlé,Food,Switzerland,FY 2023,2023-12-31,Net Income,11209000000.0,CHF,annual
NESN.SW,Nestlé,Food,Switzerland,FY 2022,2022-12-31,Net Income,9270000000.0,CHF,annual
NESN.SW,Nestlé,Food,Switzerland,FY 2025,2025-12-31,Total Revenue,89885000000.0,CHF,annual
NESN.SW,Nestlé,Food,Switzerland,FY 2024,2024-12-31,Total Revenue,91720000000.0,CHF,annual
NESN.SW,Nestlé,Food,Switzerland,FY 2023,2023-12-31,Total Revenue,93351000000.0,CHF,annual
NESN.SW,Nestlé,Food,Switzerland,FY 2022,2022-12-31,Total Revenue,94780000000.0,CHF,annual
BN.PA,Danone,Food,France,FY 2025,2025-12-31,EBITDA,4389000000.0,EUR,annual
BN.PA,Danone,Food,France,FY 2024,2024-12-31,EBITDA,4767000000.0,EUR,annual
BN.PA,Danone,Food,France,FY 2023,2023-12-31,EBITDA,3810000000.0,EUR,annual
BN.PA,Danone,Food,France,FY 2022,2022-12-31,EBITDA,4003000000.0,EUR,annual
BN.PA,Danone,Food,France,FY 2025,2025-12-31,Net Income,1825000000.0,EUR,annual
BN.PA,Danone,Food,France,FY 2024,2024-12-31,Net Income,2021000000.0,EUR,annual
BN.PA,Danone,Food,France,FY 2023,2023-12-31,Net Income,881000000.0,EUR,annual
BN.PA,Danone,Food,France,FY 2022,2022-12-31,Net Income,959000000.0,EUR,annual
BN.PA,Danone,Food,France,FY 2025,2025-12-31,Total Revenue,27283000000.0,EUR,annual
BN.PA,Danone,Food,France,FY 2024,2024-12-31,Total Revenue,27376000000.0,EUR,annual
BN.PA,Danone,Food,France,FY 2023,2023-12-31,Total Revenue,27619000000.0,EUR,annual
BN.PA,Danone,Food,France,FY 2022,2022-12-31,Total Revenue,27661000000.0,EUR,annual
ABF.L,Assoc British Foods,Food,UK,FY 2025,2025-08-31,EBITDA,2654000000.0,GBp,annual
ABF.L,Assoc British Foods,Food,UK,FY 2024,2024-08-31,EBITDA,3132000000.0,GBp,annual
ABF.L,Assoc British Foods,Food,UK,FY 2023,2023-09-30,EBITDA,2476000000.0,GBp,annual
ABF.L,Assoc British Foods,Food,UK,FY 2023,2023-08-31,EBITDA,2476000000.0,GBp,annual
ABF.L,Assoc British Foods,Food,UK,FY 2025,2025-08-31,Net Income,1025000000.0,GBp,annual
ABF.L,Assoc British Foods,Food,UK,FY 2024,2024-08-31,Net Income,1455000000.0,GBp,annual
ABF.L,Assoc British Foods,Food,UK,FY 2023,2023-09-30,Net Income,1044000000.0,GBp,annual
ABF.L,Assoc British Foods,Food,UK,FY 2023,2023-08-31,Net Income,1044000000.0,GBp,annual
ABF.L,Assoc British Foods,Food,UK,FY 2025,2025-08-31,Total Revenue,19459000000.0,GBp,annual
ABF.L,Assoc British Foods,Food,UK,FY 2024,2024-08-31,Total Revenue,20073000000.0,GBp,annual
ABF.L,Assoc British Foods,Food,UK,FY 2023,2023-09-30,Total Revenue,19750000000.0,GBp,annual
ABF.L,Assoc British Foods,Food,UK,FY 2023,2023-08-31,Total Revenue,19750000000.0,GBp,annual
ORK.OL,Orkla,Food,Norway,2025-Q4,2025-12-31,EBITDA,3038000000.0,NOK,quarterly
ORK.OL,Orkla,Food,Norway,2025-Q3,2025-09-30,EBITDA,2912000000.0,NOK,quarterly
ORK.OL,Orkla,Food,Norway,2025-Q2,2025-06-30,EBITDA,2961000000.0,NOK,quarterly
ORK.OL,Orkla,Food,Norway,2025-Q1,2025-03-31,EBITDA,3044000000.0,NOK,quarterly
ORK.OL,Orkla,Food,Norway,2024-Q4,2024-12-31,EBITDA,2653000000.0,NOK,quarterly
ORK.OL,Orkla,Food,Norway,2025-Q4,2025-12-31,Net Income,1888000000.0,NOK,quarterly
ORK.OL,Orkla,Food,Norway,2025-Q3,2025-09-30,Net Income,1571000000.0,NOK,quarterly
ORK.OL,Orkla,Food,Norway,2025-Q2,2025-06-30,Net Income,6221000000.0,NOK,quarterly
ORK.OL,Orkla,Food,Norway,2025-Q1,2025-03-31,Net Income,1793000000.0,NOK,quarterly
ORK.OL,Orkla,Food,Norway,2024-Q4,2024-12-31,Net Income,1360000000.0,NOK,quarterly
ORK.OL,Orkla,Food,Norway,2025-Q4,2025-12-31,Total Revenue,18775000000.0,NOK,quarterly
ORK.OL,Orkla,Food,Norway,2025-Q3,2025-09-30,Total Revenue,17946000000.0,NOK,quarterly
ORK.OL,Orkla,Food,Norway,2025-Q2,2025-06-30,Total Revenue,17650000000.0,NOK,quarterly
ORK.OL,Orkla,Food,Norway,2025-Q1,2025-03-31,Total Revenue,17176000000.0,NOK,quarterly
ORK.OL,Orkla,Food,Norway,2024-Q4,2024-12-31,Total Revenue,18395000000.0,NOK,quarterly
ABI.BR,AB InBev,Beverage,Belgium,2025-Q4,2025-12-31,EBITDA,3947000000.0,EUR,quarterly
ABI.BR,AB InBev,Beverage,Belgium,2025-Q3,2025-09-30,EBITDA,3162000000.0,EUR,quarterly
ABI.BR,AB InBev,Beverage,Belgium,2025-Q2,2025-06-30,EBITDA,4325000000.0,EUR,quarterly
ABI.BR,AB InBev,Beverage,Belgium,2025-Q1,2025-03-31,EBITDA,3587000000.0,EUR,quarterly
ABI.BR,AB InBev,Beverage,Belgium,2024-Q4,2024-12-31,EBITDA,3357000000.0,EUR,quarterly
ABI.BR,AB InBev,Beverage,Belgium,2025-Q4,2025-12-31,Net Income,1959000000.0,EUR,quarterly
ABI.BR,AB InBev,Beverage,Belgium,2025-Q3,2025-09-30,Net Income,1054000000.0,EUR,quarterly
