series_name,category,code_type,code,total_countries,country_list,granularity,date_min,date_max,latest_data,n_datasets,dataset_list,has_production,has_turnover,has_prices,has_trade,has_confidence
Basic pharmaceutical products and preparations,Manufacturing,NACE,C21,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2026-01,2026-01,10,ei_bssi_m_r2;sts_inlb_m;sts_inpi_m;sts_inpp_m;sts_inppd_m;sts_inppnd_m;sts_inpr_m;sts_intv_m;sts_intvd_m;sts_intvnd_m,True,True,True,False,True
"Beauty, make-up and skin care preparations",Production,CN,3304,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2025-12,2025-12,1,comext,False,False,False,True,False
Beer made from malt,Production,CN,2203,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2025-12,2025-12,1,comext,False,False,False,True,False
"Dispensing chemist, medical goods, cosmetics, toiletries",Retail,NACE,G47_NF_HLTH,12,AT;BE;DK;ES;FI;GR;HR;IE;IT;PT;RO;SE,monthly,2023-01,2025-12,2025-12,1,sts_trtu_m,False,True,False,False,False
Food preparations n.e.c.,Production,CN,2106,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2025-12,2025-12,1,comext,False,False,False,True,False
Fruit juices (incl. grape must),Production,CN,2009,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2025-12,2025-12,1,comext,False,False,False,True,False
Hair preparations,Production,CN,3305,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2025-12,2025-12,1,comext,False,False,False,True,False
Land transport and pipelines,Logistics,NACE,H49,24,AT;BE;BG;CZ;DE;EE;ES;FI;FR;GR;HR;HU;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2025-12,2025-12,1,sts_sepr_m,True,False,False,False,False
Manufacture of beverages,Manufacturing,NACE,C11,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2026-01,2026-01,10,ei_bssi_m_r2;sts_inlb_m;sts_inpi_m;sts_inpp_m;sts_inppd_m;sts_inppnd_m;sts_inpr_m;sts_intv_m;sts_intvd_m;sts_intvnd_m,True,True,True,False,True
Manufacture of food products,Manufacturing,NACE,C10,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2026-01,2026-01,10,ei_bssi_m_r2;sts_inlb_m;sts_inpi_m;sts_inpp_m;sts_inppd_m;sts_inppnd_m;sts_inpr_m;sts_intv_m;sts_intvd_m;sts_intvnd_m,True,True,True,False,True
Manufacture of tobacco products,Manufacturing,NACE,C12,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2026-01,2026-01,10,ei_bssi_m_r2;sts_inlb_m;sts_inpi_m;sts_inpp_m;sts_inppd_m;sts_inppnd_m;sts_inpr_m;sts_intv_m;sts_intvd_m;sts_intvnd_m,True,True,True,False,True
Medicaments in measured doses,Production,CN,3004,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2025-12,2025-12,1,comext,False,False,False,True,False
Mineral and aerated waters,Production,CN,2201,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2025-12,2025-12,1,comext,False,False,False,True,False
Non-alcoholic beverages (excl. water/juices),Production,CN,2202,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2025-12,2025-12,1,comext,False,False,False,True,False
Non-food retail (excl. automotive fuel),Retail,NACE,G47_NFOOD_X_G473,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2025-12,2025-12,1,sts_trtu_m,False,True,False,False,False
Non-specialised stores (food predominating),Retail,NACE,G4711,19,AT;BE;BG;CZ;DE;DK;ES;FI;FR;GR;HR;IE;IT;LT;NL;PL;PT;RO;SE,monthly,2023-01,2025-12,2025-12,1,sts_trtu_m,False,True,False,False,False
Postal and courier activities,Logistics,NACE,H53,22,AT;BE;BG;CZ;DE;EE;ES;GR;HR;HU;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2025-12,2025-12,1,sts_sepr_m,True,False,False,False,False
Prepared or preserved fish,Production,CN,1604,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2025-12,2025-12,1,comext,False,False,False,True,False
Prepared or preserved meat,Production,CN,1602,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2025-12,2025-12,1,comext,False,False,False,True,False
Prepared or preserved vegetables,Production,CN,2005,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2025-12,2025-12,1,comext,False,False,False,True,False
Retail non-food products,Retail,NACE,G47_NFOOD,26,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2026-01,2026-01,1,ei_bsrt_m_r2,False,False,False,False,True
"Retail sale of food, beverages and tobacco",Retail,NACE,G47_FOOD,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2026-01,2026-01,2,ei_bsrt_m_r2;sts_trtu_m,False,True,False,False,True
Retail trade (excl. motor vehicles),Retail,NACE,G47,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2025-12,2025-12,1,sts_trtu_m,False,True,False,False,False
"Shaving, deodorant, bath preparations",Production,CN,3307,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2025-12,2025-12,1,comext,False,False,False,True,False
"Soap, detergents, cleaning, cosmetics, toiletries",Manufacturing,NACE,C204,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2026-01,2026-01,6,ei_bssi_m_r2;sts_inpi_m;sts_inpp_m;sts_inppd_m;sts_inppnd_m;sts_inpr_m,True,False,True,False,True
"Spirits, liqueurs and other spirituous beverages",Production,CN,2208,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2025-12,2025-12,1,comext,False,False,False,True,False
Transportation and storage,Logistics,NACE,H,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2026-01,2026-01,2,ei_bsse_m_r2;sts_sepr_m,True,False,False,False,True
Warehousing and transport support,Logistics,NACE,H52,25,AT;BE;BG;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2025-12,2025-12,1,sts_sepr_m,True,False,False,False,False
Washing and cleaning preparations,Production,CN,3402,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2025-12,2025-12,1,comext,False,False,False,True,False
Wine of fresh grapes,Production,CN,2204,27,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,monthly,2023-01,2025-12,2025-12,1,comext,False,False,False,True,False
