freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2015-01_value,2015-01_flag,2015-02_value,2015-02_flag,2015-03_value,2015-03_flag,2015-04_value,2015-04_flag,2015-05_value,2015-05_flag,2015-06_value,2015-06_flag,2015-07_value,2015-07_flag,2015-08_value,2015-08_flag,2015-09_value,2015-09_flag,2015-10_value,2015-10_flag,2015-11_value,2015-11_flag,2015-12_value,2015-12_flag,2016-01_value,2016-01_flag,2016-02_value,2016-02_flag,2016-03_value,2016-03_flag,2016-04_value,2016-04_flag,2016-05_value,2016-05_flag,2016-06_value,2016-06_flag,2016-07_value,2016-07_flag,2016-08_value,2016-08_flag,2016-09_value,2016-09_flag,2016-10_value,2016-10_flag,2016-11_value,2016-11_flag,2016-12_value,2016-12_flag,2017-01_value,2017-01_flag,2017-02_value,2017-02_flag,2017-03_value,2017-03_flag,2017-04_value,2017-04_flag,2017-05_value,2017-05_flag,2017-06_value,2017-06_flag,2017-07_value,2017-07_flag,2017-08_value,2017-08_flag,2017-09_value,2017-09_flag,2017-10_value,2017-10_flag,2017-11_value,2017-11_flag,2017-12_value,2017-12_flag,2018-01_value,2018-01_flag,2018-02_value,2018-02_flag,2018-03_value,2018-03_flag,2018-04_value,2018-04_flag,2018-05_value,2018-05_flag,2018-06_value,2018-06_flag,2018-07_value,2018-07_flag,2018-08_value,2018-08_flag,2018-09_value,2018-09_flag,2018-10_value,2018-10_flag,2018-11_value,2018-11_flag,2018-12_value,2018-12_flag,2019-01_value,2019-01_flag,2019-02_value,2019-02_flag,2019-03_value,2019-03_flag,2019-04_value,2019-04_flag,2019-05_value,2019-05_flag,2019-06_value,2019-06_flag,2019-07_value,2019-07_flag,2019-08_value,2019-08_flag,2019-09_value,2019-09_flag,2019-10_value,2019-10_flag,2019-11_value,2019-11_flag,2019-12_value,2019-12_flag,2020-01_value,2020-01_flag,2020-02_value,2020-02_flag,2020-03_value,2020-03_flag,2020-04_value,2020-04_flag,2020-05_value,2020-05_flag,2020-06_value,2020-06_flag,2020-07_value,2020-07_flag,2020-08_value,2020-08_flag,2020-09_value,2020-09_flag,2020-10_value,2020-10_flag,2020-11_value,2020-11_flag,2020-12_value,2020-12_flag,2021-01_value,2021-01_flag,2021-02_value,2021-02_flag,2021-03_value,2021-03_flag,2021-04_value,2021-04_flag,2021-05_value,2021-05_flag,2021-06_value,2021-06_flag,2021-07_value,2021-07_flag,2021-08_value,2021-08_flag,2021-09_value,2021-09_flag,2021-10_value,2021-10_flag,2021-11_value,2021-11_flag,2021-12_value,2021-12_flag,2022-01_value,2022-01_flag,2022-02_value,2022-02_flag,2022-03_value,2022-03_flag,2022-04_value,2022-04_flag,2022-05_value,2022-05_flag,2022-06_value,2022-06_flag,2022-07_value,2022-07_flag,2022-08_value,2022-08_flag,2022-09_value,2022-09_flag,2022-10_value,2022-10_flag,2022-11_value,2022-11_flag,2022-12_value,2022-12_flag,2023-01_value,2023-01_flag,2023-02_value,2023-02_flag,2023-03_value,2023-03_flag,2023-04_value,2023-04_flag,2023-05_value,2023-05_flag,2023-06_value,2023-06_flag,2023-07_value,2023-07_flag,2023-08_value,2023-08_flag,2023-09_value,2023-09_flag,2023-10_value,2023-10_flag,2023-11_value,2023-11_flag,2023-12_value,2023-12_flag,2024-01_value,2024-01_flag,2024-02_value,2024-02_flag,2024-03_value,2024-03_flag,2024-04_value,2024-04_flag,2024-05_value,2024-05_flag,2024-06_value,2024-06_flag,2024-07_value,2024-07_flag,2024-08_value,2024-08_flag,2024-09_value,2024-09_flag,2024-10_value,2024-10_flag,2024-11_value,2024-11_flag,2024-12_value,2024-12_flag
M,PRD,C2229,SCA,I15,DE,98.4,,99.8,,100.0,,100.3,,100.0,,99.8,,101.2,,98.7,,99.1,,100.1,,99.8,,99.7,,103.1,,103.4,,102.9,,104.1,,103.0,,104.6,,102.3,,105.5,,105.9,,105.5,,106.3,,105.8,,107.6,,107.4,,106.8,,108.3,,109.6,,108.6,,110.5,,112.5,,111.8,,111.8,,112.3,,111.6,,112.6,,110.5,,110.9,,110.6,,114.1,,110.6,,110.2,,109.6,,108.3,,108.9,,106.4,,108.1,,107.4,,105.9,,107.8,,106.6,,106.9,,105.7,,104.6,,106.7,,105.8,,102.9,,103.0,,100.9,,103.3,,104.6,,91.0,,62.8,,72.3,,83.7,,90.0,,93.8,,97.0,,100.8,,104.3,,106.0,,103.7,,100.4,,104.6,,102.6,,101.2,,99.6,,99.9,,94.4,,91.8,,93.1,,95.2,,99.6,,100.5,,101.2,,96.1,,98.5,,100.4,,100.3,,99.5,,100.6,,100.5,,100.3,,99.9,,95.4,,97.4,,99.1,,97.7,,99.8,,99.9,,98.5,,96.5,,97.2,,93.4,,95.4,,95.0,,92.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRD,C2229,SCA,I15,EA19,97.5,,99.0,,98.9,,98.8,,99.2,,99.6,,102.0,,98.7,,100.2,,103.1,,102.4,,100.7,,103.9,,104.8,,103.8,,106.0,,104.9,,104.8,,103.6,,105.7,,106.1,,106.1,,106.3,,108.0,,107.3,,108.9,,110.5,,108.4,,110.1,,110.5,,111.9,,112.2,,111.3,,111.8,,111.8,,112.1,,110.3,,107.0,,108.0,,107.8,,110.6,,110.7,,108.0,,106.8,,105.4,,105.5,,103.1,,104.2,,104.1,,103.2,,104.5,,105.2,,103.9,,104.1,,102.7,,105.1,,101.6,,98.6,,101.2,,98.3,,101.7,,104.6,,81.2,,51.9,,71.2,,82.7,,91.0,,96.3,,97.1,,102.7,,103.1,,104.9,,103.3,,101.0,,103.6,,104.2,,103.2,,100.5,,102.6,,95.3,,96.0,,97.0,,97.3,,99.5,,97.3,,98.6,,97.1,,96.3,,96.0,,97.7,,96.3,,99.1,,101.5,,100.6,,100.8,,99.1,,101.5,,101.1,,101.0,,101.3,,102.7,,102.4,,98.2,,99.2,,95.8,,96.3,,96.9,,95.8,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRD,C2229,SCA,I15,EA20,97.5,,99.0,,98.9,,98.8,,99.2,,99.6,,102.0,,98.7,,100.2,,103.1,,102.4,,100.7,,103.9,,104.8,,103.8,,106.0,,104.9,,104.8,,103.6,,105.7,,106.1,,106.1,,106.3,,108.0,,107.3,,108.9,,110.5,,108.4,,110.1,,110.5,,111.9,,112.2,,111.3,,111.8,,111.8,,112.1,,110.3,,107.0,,108.0,,107.8,,110.6,,110.7,,108.0,,106.8,,105.4,,105.5,,103.1,,104.2,,104.1,,103.2,,104.5,,105.2,,103.9,,104.1,,102.7,,105.1,,101.6,,98.6,,101.2,,98.3,,101.7,,104.6,,81.2,,51.9,,71.2,,82.7,,91.0,,96.3,,97.1,,102.7,,103.1,,104.9,,103.3,,101.0,,103.6,,104.2,,103.2,,100.5,,102.6,,95.3,,96.0,,97.0,,97.3,,99.5,,97.3,,98.6,,97.1,,96.3,,96.0,,97.7,,96.3,,99.1,,101.5,,100.6,,100.8,,99.1,,101.5,,101.1,,101.0,,101.3,,102.7,,102.4,,98.2,,99.2,,95.8,,96.3,,96.9,,95.8,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRD,C2229,SCA,I15,EL,95.2,i,104.1,i,101.1,i,102.1,i,103.5,i,101.2,i,96.2,i,98.6,i,102.7,i,93.7,i,101.7,i,102.3,i,89.1,i,100.7,i,98.1,i,100.7,i,96.7,i,99.1,i,100.2,i,111.6,i,105.9,i,99.3,i,93.0,i,104.8,i,102.9,i,104.1,i,121.3,i,101.7,i,105.7,i,109.5,i,106.5,i,113.4,i,99.1,i,105.5,i,109.4,i,129.4,i,125.4,i,99.9,i,98.9,i,103.6,i,105.8,i,108.9,i,115.9,i,111.7,i,108.4,i,117.5,i,123.0,i,112.8,i,114.5,i,111.2,i,117.2,i,119.7,i,118.6,i,119.4,i,124.6,i,115.1,i,118.0,i,117.1,i,109.4,i,115.2,i,115.5,i,122.9,i,116.2,i,102.0,i,111.4,i,111.5,i,119.8,i,130.7,i,129.2,i,114.2,i,131.6,i,117.8,i,135.0,i,130.3,i,136.7,i,141.3,i,140.4,i,121.5,i,138.7,i,119.9,i,126.4,i,150.9,i,147.1,i,120.8,i,126.9,i,142.8,i,159.6,i,138.5,i,134.2,i,144.8,i,128.5,i,129.7,i,141.7,i,113.0,i,105.9,i,123.0,i,125.8,p,131.8,p,112.3,p,137.7,p,121.3,p,126.9,p,114.4,p,125.3,p,113.6,p,128.0,p,135.4,p,158.8,p,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRD,C2229,SCA,I15,ES,95.5,p,95.6,p,100.4,p,98.2,p,100.4,p,101.9,p,99.4,p,99.2,p,102.0,p,101.8,p,102.6,p,103.1,p,105.8,p,108.3,p,106.6,p,108.9,p,103.9,p,105.8,p,105.5,p,112.0,p,109.2,p,106.7,p,108.4,p,110.1,p,109.1,p,108.3,p,116.4,p,108.9,p,112.9,p,114.0,p,113.3,p,114.9,p,115.6,p,117.1,p,116.3,p,123.2,p,111.1,p,114.0,p,115.9,p,114.9,p,115.3,p,114.4,p,110.5,p,106.8,p,106.5,p,108.1,p,104.8,p,101.6,p,109.7,p,107.1,p,108.4,p,110.0,p,107.4,p,106.8,p,106.9,p,110.9,p,110.6,p,109.5,p,111.8,p,107.8,p,108.7,p,112.6,p,81.1,p,29.7,p,56.6,p,85.5,p,102.0,p,104.5,p,110.7,p,115.8,p,114.5,p,110.1,p,109.9,p,102.3,p,101.6,p,102.4,p,97.2,p,93.4,p,97.4,p,96.5,p,92.1,p,92.1,p,97.1,p,100.1,p,101.6,p,103.3,p,95.1,p,101.7,p,103.8,p,108.0,p,109.3,p,111.9,p,105.9,p,105.7,p,102.1,p,103.7,p,103.6,p,106.4,p,111.4,p,106.3,p,110.4,p,108.9,p,107.5,p,110.0,p,109.6,p,108.7,p,109.3,p,108.7,p,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRD,C2229,SCA,I15,EU27_2020,97.5,,99.0,,98.9,,98.8,,99.2,,99.6,,102.0,,98.7,,100.2,,103.1,,102.4,,100.7,,103.9,,104.8,,103.8,,106.0,,104.9,,104.8,,103.6,,105.7,,106.1,,106.1,,106.3,,108.0,,107.3,,108.9,,110.5,,108.4,,110.1,,110.5,,111.9,,112.2,,111.3,,111.8,,111.8,,112.1,,110.3,,107.0,,108.0,,107.8,,110.6,,110.7,,108.0,,106.8,,105.4,,105.5,,103.1,,104.2,,104.1,,103.2,,104.5,,105.2,,103.9,,104.1,,102.7,,105.1,,101.6,,98.6,,101.2,,98.3,,101.7,,104.6,,81.2,,51.9,,71.2,,82.7,,91.0,,96.3,,97.1,,102.7,,103.1,,104.9,,103.3,,101.0,,103.6,,104.2,,103.2,,100.5,,102.6,,95.3,,96.0,,97.0,,97.3,,99.5,,97.3,,98.6,,97.1,,96.3,,96.0,,97.7,,96.3,,99.1,,101.5,,100.6,,100.8,,99.1,,101.5,,101.1,,101.0,,101.3,,102.7,,102.4,,98.2,,99.2,,95.8,,96.3,,96.9,,95.8,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRD,C2229,SCA,I15,EU28,98.2,,99.5,,100.4,,99.2,,98.7,,99.7,,101.6,,97.4,,99.6,,102.5,,101.9,,101.6,,104.7,,103.7,,103.3,,105.1,,103.6,,102.8,,101.8,,103.5,,105.7,,104.8,,105.6,,107.3,,105.9,,106.7,,108.5,,105.3,,106.6,,106.3,,108.1,,109.0,,108.1,,109.5,,110.6,,110.4,,108.3,,105.6,,109.6,,104.6,,106.8,,106.7,,104.9,,102.7,,105.2,,104.6,,102.4,,103.2,,103.6,,103.4,,103.3,,103.5,,101.5,,100.9,,100.7,,102.2,,101.8,,100.6,,102.2,,98.9,,103.4,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRD,C2229,SCA,I15,FR,95.2,,96.0,,98.2,,98.4,,97.9,,99.1,,101.5,,101.5,,101.3,,102.7,,104.1,,104.3,,104.5,,105.4,,105.3,,102.4,,107.0,,107.4,,110.5,,108.9,,110.2,,109.5,,109.9,,105.2,,112.8,,110.9,,114.6,,110.2,,114.0,,116.1,,114.7,,114.8,,116.7,,117.3,,117.3,,118.4,,106.9,,106.6,,106.1,,105.4,,106.3,,111.2,,105.6,,106.5,,105.1,,106.8,,106.8,,106.6,,105.9,,106.6,,106.3,,110.2,,108.6,,105.7,,109.6,,108.8,,109.2,,111.1,,107.9,,109.4,,109.9,,111.3,,81.5,,59.5,,79.6,,90.3,,92.8,,100.9,,94.6,,96.4,,98.9,,100.6,,105.1,,103.4,,103.4,,103.9,,103.5,,105.3,,105.3,,106.5,,109.9,,108.5,,111.5,,108.5,,110.1,,110.8,,109.8,,107.7,,106.8,,112.8,,108.0,,106.8,,108.6,,108.2,,110.2,,110.2,,108.5,,108.0,,111.1,,110.3,,111.1,,107.9,,109.3,,108.0,,103.3,,104.6,,99.9,,115.1,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRD,C2229,SCA,I15,IE,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRD,C2229,SCA,I15,IT,96.6,,98.4,,95.4,,94.9,,97.6,,98.0,,104.3,,95.8,,100.4,,109.2,,105.6,,99.1,,102.8,,104.6,,102.8,,108.8,,107.4,,102.2,,101.5,,100.5,,102.2,,105.4,,102.5,,112.0,,101.8,,108.5,,111.3,,106.3,,106.4,,107.8,,110.8,,108.3,,104.6,,107.2,,105.7,,105.4,,105.8,,96.6,,99.7,,99.0,,101.6,,107.6,,101.8,,98.1,,97.2,,93.2,,92.0,,95.3,,93.0,,93.6,,94.8,,97.8,,93.9,,98.4,,93.3,,97.2,,82.0,,77.3,,87.8,,81.6,,89.8,,96.0,,54.3,,27.2,,60.8,,71.4,,83.7,,94.4,,90.8,,98.4,,95.8,,98.1,,94.3,,97.2,,98.5,,100.0,,103.9,,99.1,,102.6,,87.2,,93.8,,93.2,,92.1,,89.2,,78.9,,81.5,,88.6,,81.1,,76.2,,72.9,,75.0,,81.0,,93.6,,91.8,,92.7,,94.0,,100.4,,94.9,,94.9,,95.5,,98.1,,102.8,,88.7,,89.4,,88.5,,87.2,,85.7,,83.2,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
