freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2015-01_value,2015-01_flag,2015-02_value,2015-02_flag,2015-03_value,2015-03_flag,2015-04_value,2015-04_flag,2015-05_value,2015-05_flag,2015-06_value,2015-06_flag,2015-07_value,2015-07_flag,2015-08_value,2015-08_flag,2015-09_value,2015-09_flag,2015-10_value,2015-10_flag,2015-11_value,2015-11_flag,2015-12_value,2015-12_flag,2016-01_value,2016-01_flag,2016-02_value,2016-02_flag,2016-03_value,2016-03_flag,2016-04_value,2016-04_flag,2016-05_value,2016-05_flag,2016-06_value,2016-06_flag,2016-07_value,2016-07_flag,2016-08_value,2016-08_flag,2016-09_value,2016-09_flag,2016-10_value,2016-10_flag,2016-11_value,2016-11_flag,2016-12_value,2016-12_flag,2017-01_value,2017-01_flag,2017-02_value,2017-02_flag,2017-03_value,2017-03_flag,2017-04_value,2017-04_flag,2017-05_value,2017-05_flag,2017-06_value,2017-06_flag,2017-07_value,2017-07_flag,2017-08_value,2017-08_flag,2017-09_value,2017-09_flag,2017-10_value,2017-10_flag,2017-11_value,2017-11_flag,2017-12_value,2017-12_flag,2018-01_value,2018-01_flag,2018-02_value,2018-02_flag,2018-03_value,2018-03_flag,2018-04_value,2018-04_flag,2018-05_value,2018-05_flag,2018-06_value,2018-06_flag,2018-07_value,2018-07_flag,2018-08_value,2018-08_flag,2018-09_value,2018-09_flag,2018-10_value,2018-10_flag,2018-11_value,2018-11_flag,2018-12_value,2018-12_flag,2019-01_value,2019-01_flag,2019-02_value,2019-02_flag,2019-03_value,2019-03_flag,2019-04_value,2019-04_flag,2019-05_value,2019-05_flag,2019-06_value,2019-06_flag,2019-07_value,2019-07_flag,2019-08_value,2019-08_flag,2019-09_value,2019-09_flag,2019-10_value,2019-10_flag,2019-11_value,2019-11_flag,2019-12_value,2019-12_flag,2020-01_value,2020-01_flag,2020-02_value,2020-02_flag,2020-03_value,2020-03_flag,2020-04_value,2020-04_flag,2020-05_value,2020-05_flag,2020-06_value,2020-06_flag,2020-07_value,2020-07_flag,2020-08_value,2020-08_flag,2020-09_value,2020-09_flag,2020-10_value,2020-10_flag,2020-11_value,2020-11_flag,2020-12_value,2020-12_flag,2021-01_value,2021-01_flag,2021-02_value,2021-02_flag,2021-03_value,2021-03_flag,2021-04_value,2021-04_flag,2021-05_value,2021-05_flag,2021-06_value,2021-06_flag,2021-07_value,2021-07_flag,2021-08_value,2021-08_flag,2021-09_value,2021-09_flag,2021-10_value,2021-10_flag,2021-11_value,2021-11_flag,2021-12_value,2021-12_flag,2022-01_value,2022-01_flag,2022-02_value,2022-02_flag,2022-03_value,2022-03_flag,2022-04_value,2022-04_flag,2022-05_value,2022-05_flag,2022-06_value,2022-06_flag,2022-07_value,2022-07_flag,2022-08_value,2022-08_flag,2022-09_value,2022-09_flag,2022-10_value,2022-10_flag,2022-11_value,2022-11_flag,2022-12_value,2022-12_flag,2023-01_value,2023-01_flag,2023-02_value,2023-02_flag,2023-03_value,2023-03_flag,2023-04_value,2023-04_flag,2023-05_value,2023-05_flag,2023-06_value,2023-06_flag,2023-07_value,2023-07_flag,2023-08_value,2023-08_flag,2023-09_value,2023-09_flag,2023-10_value,2023-10_flag,2023-11_value,2023-11_flag,2023-12_value,2023-12_flag,2024-01_value,2024-01_flag,2024-02_value,2024-02_flag,2024-03_value,2024-03_flag,2024-04_value,2024-04_flag,2024-05_value,2024-05_flag,2024-06_value,2024-06_flag,2024-07_value,2024-07_flag,2024-08_value,2024-08_flag,2024-09_value,2024-09_flag,2024-10_value,2024-10_flag,2024-11_value,2024-11_flag,2024-12_value,2024-12_flag
M,PRC_PRR,C2052,NSA,I10,EA19,107.7,,106.8,,106.6,,106.9,,107.3,,107.0,,107.6,,107.0,,106.8,,106.6,,106.0,,106.5,,105.9,,106.0,,105.8,,105.8,,106.1,,105.8,,106.2,,106.2,,106.1,,106.3,,106.4,,106.3,,106.6,,106.5,,106.6,,106.8,,107.5,,108.2,,107.9,,107.7,,108.1,,108.1,,108.1,,108.2,i,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR,C2052,NSA,I10,ES,119.4,,120.0,,118.2,,119.4,,119.5,,119.5,,119.0,,119.1,,118.7,,118.2,,117.0,,118.3,,115.5,,116.3,,117.0,,114.4,,114.7,,114.8,,115.9,,114.9,,114.8,,115.4,,114.7,,115.8,,119.2,,120.2,,121.8,,120.4,,120.8,,120.9,,120.1,,119.2,,120.8,,119.5,p,120.3,p,120.3,p,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR,C2052,NSA,I10,EU28,108.0,,107.2,,107.0,,107.2,,107.4,,107.2,,107.6,,107.2,,107.2,,107.1,,106.4,,107.1,,106.8,,107.1,,106.6,,106.5,,106.7,,106.5,,107.0,,106.9,,106.8,,107.4,,107.3,,107.2,,107.8,,107.6,,107.9,,108.0,,108.6,,109.3,,109.1,,109.2,,109.4,,109.5,,109.5,,109.7,i,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR,C2052,NSA,I10,FR,110.2,,109.3,,109.6,,111.1,,111.6,,111.0,,110.9,,110.9,,110.5,,109.4,,109.6,,110.1,,111.2,,110.5,,110.1,,114.1,,114.6,,114.0,,115.2,,115.9,,115.0,,114.1,,114.0,,114.2,,116.0,,114.9,,116.3,,116.8,,117.2,,117.7,,117.1,,117.9,,119.3,,119.0,p,119.1,p,119.1,p,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR,C2052,NSA,I10,IT,111.5,,110.3,,109.8,,109.9,,111.5,,110.5,,110.5,,109.7,,110.2,,110.4,,109.3,,111.4,p,110.2,,111.1,,108.9,,108.6,,110.2,,109.0,,107.8,,106.3,,108.3,,109.3,,111.0,,110.4,,110.6,,109.2,,107.8,,109.3,,108.6,,110.2,,109.8,,109.6,,109.0,,110.0,,109.7,,109.4,p,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR,C2052,NSA,I10,SE,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR,C2052,NSA,I10,UK,108.9,,109.0,,108.6,,108.5,,108.4,,108.3,,107.9,,108.2,,108.9,,108.9,,107.9,,110.0,,111.3,,112.2,,109.9,,109.8,,109.6,,109.9,,110.9,,110.4,,110.2,,112.3,,111.6,,111.1,,112.1,,112.0,,112.5,,111.8,,111.7,,112.4,,112.6,,113.1,,112.6,,112.9,,112.8,,112.6,,112.6,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR,C2052,NSA,I15,DE,101.0,,100.2,,100.2,,99.8,,100.0,,99.8,,100.6,,100.0,,99.8,,99.9,,99.2,,99.4,,98.8,,99.0,,99.0,,98.3,,98.3,,98.1,,98.5,,98.6,,98.5,,98.8,,98.7,,98.5,,97.6,,97.8,,97.6,,97.7,,98.7,,99.3,,99.1,,98.9,,98.9,,99.0,,98.9,,98.9,,98.7,,99.5,,99.6,,99.7,,100.2,,100.0,,101.1,,101.1,,101.2,,101.1,,101.0,,101.0,,101.6,,101.2,,101.6,,101.8,,101.7,,101.6,,101.7,,101.7,,101.7,,101.6,,101.6,,101.4,,101.5,,101.6,,101.4,,101.4,,101.3,,101.3,,102.3,,101.8,,101.8,,101.8,,102.0,,102.0,,101.5,,101.7,,101.8,,102.3,,102.9,,103.1,,105.2,,104.9,,105.3,,107.1,,107.9,,107.8,,109.6,,110.9,,110.7,,114.0,,115.5,,116.0,,117.2,,116.7,,116.7,,119.0,,119.1,,118.9,,117.7,,119.7,,121.4,,120.4,,120.3,,120.1,,118.9,,117.8,,117.6,,115.3,,115.1,,114.8,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR,C2052,NSA,I15,EA19,100.7,,100.0,,99.9,,100.0,,100.4,,100.0,,100.5,,100.1,,99.9,,99.7,,99.2,,99.6,,99.2,,99.3,,99.1,,99.2,,99.4,,99.1,,99.5,,99.5,,99.4,,99.6,,99.6,,99.6,,99.5,,99.4,,99.5,,99.7,,100.4,,101.0,,100.6,,100.6,,100.9,,100.9,,100.9,,100.8,,101.2,,101.8,,101.8,,102.0,,102.1,,102.1,,102.9,,103.1,,103.0,,102.9,,102.7,,102.9,,103.8,,103.4,,103.5,,103.8,,103.9,,103.9,,103.9,,104.0,,103.9,,103.6,,103.8,,103.6,,103.8,,103.9,,103.8,,103.8,,103.7,,103.6,,104.1,,103.8,,103.8,,104.0,,104.0,,104.1,,103.7,,103.8,,104.0,,103.9,,104.5,,104.7,,107.1,,106.5,,107.0,,108.2,,109.2,,109.4,,111.8,,113.5,,113.6,,116.3,,118.1,,118.8,,120.2,,120.3,,120.4,,122.5,,122.8,,123.0,,122.3,,123.6,,124.4,,124.1,,124.1,,123.8,,123.0,,122.4,,122.1,,120.4,,120.2,,120.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR,C2052,NSA,I15,EA20,100.7,,100.0,,99.9,,100.0,,100.4,,100.0,,100.5,,100.1,,99.9,,99.7,,99.2,,99.6,,99.2,,99.3,,99.1,,99.2,,99.4,,99.1,,99.5,,99.5,,99.4,,99.6,,99.6,,99.6,,99.5,,99.4,,99.5,,99.7,,100.4,,101.0,,100.6,,100.6,,100.9,,100.9,,100.9,,100.8,,101.2,,101.8,,101.8,,102.0,,102.1,,102.1,,102.9,,103.1,,103.0,,102.9,,102.7,,102.9,,103.8,,103.4,,103.5,,103.8,,103.9,,103.9,,103.9,,104.0,,103.9,,103.6,,103.8,,103.6,,103.8,,103.9,,103.8,,103.8,,103.7,,103.6,,104.1,,103.8,,103.8,,104.0,,104.0,,104.1,,103.7,,103.8,,104.0,,103.9,,104.5,,104.7,,107.1,,106.5,,107.0,,108.2,,109.2,,109.4,,111.8,,113.5,,113.6,,116.3,,118.1,,118.8,,120.2,,120.3,,120.4,,122.5,,122.8,,123.0,,122.3,,123.6,,124.4,,124.1,,124.1,,123.8,,123.0,,122.4,,122.1,,120.4,,120.2,,120.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
