freq,nace_r2,indic_sb,geo\TIME_PERIOD,2015_value,2015_flag,2016_value,2016_flag,2017_value,2017_flag,2018_value,2018_flag,2019_value,2019_flag,2020_value,2020_flag
A,C2229,V12110,AL,,:,,:,,:,,:,,: u,,: u
A,C2229,V12110,AT,1841.0,,1940.8,,2083.7,,2315.2,b,2305.8,,2006.4,
A,C2229,V12110,BA,43.1,e,36.5,e,59.0,b,66.2,,91.0,,102.2,
A,C2229,V12110,BE,1433.0,,1420.9,,1501.6,,1612.5,,1566.4,,1506.3,
A,C2229,V12110,BG,181.2,,216.2,,232.0,,214.5,b,225.0,,215.5,
A,C2229,V12110,CY,2.9,,3.0,,3.6,,4.2,,4.6,,4.2,
A,C2229,V12110,CZ,2836.6,,3148.6,,3551.7,,3664.6,,3660.7,,3481.0,
A,C2229,V12110,DE,25543.6,,25919.9,,25896.1,,29158.6,b,28903.1,,24769.4,
A,C2229,V12110,DK,891.4,,895.9,,952.6,,945.4,,920.5,,935.9,
A,C2229,V12110,EE,110.4,,147.9,,167.4,,185.6,b,,: u,,: u
A,C2229,V12110,EL,268.2,,277.2,,301.7,,306.6,b,289.9,,277.1,
A,C2229,V12110,ES,5423.8,,5041.5,,5508.7,,6442.8,,6182.9,,5167.1,
A,C2229,V12110,EU27_2020,74289.2,,76178.3,,79000.0,de,84128.9,,84586.5,,76782.7,
A,C2229,V12110,EU28,82282.7,,84064.9,,86000.0,de,91277.0,,,:,,:
A,C2229,V12110,FI,603.4,,611.5,,640.1,b,641.4,,651.8,,694.1,
A,C2229,V12110,FR,6429.7,b,6704.9,,6410.2,b,5947.5,,6881.9,,6371.9,
A,C2229,V12110,HR,219.6,,209.5,,230.2,,262.4,,263.7,b,216.7,
A,C2229,V12110,HU,1539.2,,1629.3,,1825.3,,1892.0,b,1957.4,,1842.1,
A,C2229,V12110,IE,440.8,,603.1,,561.6,,,: @C,546.1,,578.5,
A,C2229,V12110,IS,2.8,p,2.3,p,2.7,p,2.8,,2.4,p,2.2,p
A,C2229,V12110,IT,14416.4,,14596.4,,15136.6,b,15220.6,,14817.3,,13917.1,
A,C2229,V12110,LT,193.4,,208.3,,229.1,,220.0,b,241.5,,217.1,
A,C2229,V12110,LU,146.8,,139.8,,,: @C,,: @C,,: @C,,: @C
A,C2229,V12110,LV,26.8,,30.6,,34.9,,46.0,,40.0,,37.7,
A,C2229,V12110,MK,33.9,,41.4,,44.3,,42.7,,45.1,,,:
A,C2229,V12110,MT,,: u,29.1,,31.4,,32.7,,24.1,,40.1,
A,C2229,V12110,NL,1931.3,,1977.7,,2183.7,,2009.7,,2114.7,,2093.4,
A,C2229,V12110,NO,230.9,,232.4,,248.7,,231.6,b,225.9,,207.4,
A,C2229,V12110,PL,4530.0,,4841.2,,5096.6,,6043.6,,6090.3,,5914.5,
A,C2229,V12110,PT,1053.5,,1147.5,,1289.1,,1367.7,,1431.7,,1477.2,
A,C2229,V12110,RO,866.9,,972.0,,1111.4,,1256.4,b,1344.9,,1198.6,
A,C2229,V12110,RS,,:,224.2,p,243.0,p,293.3,,320.5,,322.6,
A,C2229,V12110,SE,1321.3,,1374.3,,1467.5,,1445.9,b,1562.5,,1538.8,
A,C2229,V12110,SI,687.9,,769.3,,841.9,,864.2,,805.2,,738.3,
A,C2229,V12110,SK,1325.6,,1322.8,,1393.7,,1390.1,,1399.9,,1201.7,
A,C2229,V12110,UK,7993.5,,7886.7,b,7324.4,,7148.1,,,:,,:
A,C2229,V16110,AL,,:,,:,,:,,:,,: u,,: u
A,C2229,V16110,AT,11690.0,,11834.0,,12021.0,,12478.0,b,12758.0,,12997.0,
