DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2023-01,1315.81
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2023-02,1815.32
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2023-03,2456.91
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2023-04,1624.82
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2023-05,2640.45
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2023-06,1735.65
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2023-07,1619.61
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2023-08,2547.33
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2023-09,1534.4
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2023-10,2122.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2023-11,1922.96
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2023-12,818.19
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2024-01,1985.26
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2024-02,2044.35
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2024-03,1529.66
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2024-04,5199.43
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2024-05,1961.25
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2024-06,1400.59
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2024-07,2379.88
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2024-08,1251.61
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2024-09,1568.53
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2024-10,1789.05
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2024-11,1572.72
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2024-12,579.68
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2025-01,2381.8
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2025-02,1450.63
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2025-03,2116.61
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2025-04,2495.66
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2025-05,2069.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2025-06,1589.79
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2025-07,1647.78
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2025-08,1214.56
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2025-09,1986.62
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2025-10,2500.6
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,QUANTITY_IN_100KG,2025-11,1184.88
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2023-01,1173765.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2023-02,1695557.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2023-03,1505976.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2023-04,1355716.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2023-05,2103714.0
