freq,indic,s_adj,unit,geo\TIME_PERIOD,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01
M,BS-RAS,SA,BAL,AL,-0.4,5.2,2.4,3.6,3.8,-0.6,1.2,4.9,1.5,2.0,5.1,5.3,9.3,7.5,2.9,4.2,5.7,4.1,6.4,1.3,-1.3,0.4,-3.4,0.9,1.8,-0.5,3.4,-0.3,3.4,4.9,7.5,9.0,3.7,6.6,5.4,3.5,5.1
M,BS-RAS,SA,BAL,AT,-6.8,-7.6,14.3,7.7,16.1,14.8,19.4,16.1,14.4,21.2,16.9,13.0,21.6,16.4,15.7,17.6,17.7,10.7,15.4,8.4,40.1,10.7,5.0,14.2,4.4,9.9,10.6,6.7,9.3,9.1,4.8,6.0,7.6,5.8,10.1,10.5,11.4
M,BS-RAS,SA,BAL,BE,11.1,6.6,13.8,19.7,22.1,21.7,11.9,23.5,18.4,21.7,17.1,17.5,14.2,28.5,27.5,34.1,26.8,19.3,19.5,15.4,17.3,8.7,16.8,17.1,11.2,0.5,10.4,-0.6,-1.8,-1.9,7.8,9.0,14.5,17.7,7.6,13.7,24.8
M,BS-RAS,SA,BAL,BG,0.5,-3.2,1.6,1.0,2.8,3.5,3.0,1.8,1.4,1.7,3.0,3.2,2.2,5.0,5.6,4.7,4.1,1.6,2.8,4.9,1.8,3.3,4.2,5.0,3.0,1.3,3.7,3.8,6.6,3.6,4.4,3.9,3.1,3.7,7.7,5.8,1.5
M,BS-RAS,SA,BAL,CY,-12.7,-8.9,-8.3,-10.0,-11.7,-12.0,-8.8,-8.3,-1.9,1.3,-1.4,-1.7,1.0,-0.2,-1.3,-4.0,-3.5,-4.6,-9.1,-5.5,-6.5,-9.7,-9.3,-5.3,-0.8,0.5,3.1,4.1,-2.6,8.6,6.8,-1.9,-0.4,5.8,2.1,1.7,8.3
M,BS-RAS,SA,BAL,CZ,9.7,11.2,7.1,7.2,7.4,13.4,9.3,19.6,20.3,23.5,20.9,16.3,2.2,13.4,11.4,13.1,7.7,11.4,9.4,7.8,14.6,9.4,14.2,13.6,3.8,8.5,4.3,5.1,5.6,11.7,4.2,4.8,3.4,10.4,5.9,11.5,9.3
M,BS-RAS,SA,BAL,DE,12.3,15.7,15.6,15.3,19.3,16.8,20.3,23.5,25.2,24.8,26.0,23.3,24.6,24.8,22.9,23.4,23.1,23.2,26.0,25.5,24.6,26.0,24.7,22.5,23.7,20.4,25.1,25.5,21.2,27.3,24.8,22.6,26.2,23.4,23.0,25.1,25.3
M,BS-RAS,SA,BAL,DK,36.3,17.7,34.8,37.1,35.3,35.0,36.4,34.9,34.5,37.5,34.7,35.9,34.6,33.4,33.6,31.4,31.4,31.8,29.3,28.8,27.2,27.7,28.9,25.1,26.4,25.6,25.7,24.7,27.2,27.8,25.7,28.5,26.3,24.7,26.5,28.6,25.1
M,BS-RAS,SA,BAL,EA20,6.5,7.8,10.1,9.8,11.8,13.1,14.4,15.4,15.3,17.8,17.4,14.6,15.1,15.8,15.2,15.7,15.9,14.1,14.9,14.1,15.4,14.8,14.1,13.4,13.3,12.0,14.5,14.3,13.0,15.8,13.9,14.3,16.4,15.0,14.6,15.8,
M,BS-RAS,SA,BAL,EA21,6.5,7.7,10.0,9.8,11.8,13.0,14.3,15.3,15.3,17.7,17.3,14.6,15.0,15.8,15.1,15.7,15.9,14.0,14.9,14.0,15.4,14.7,14.0,13.3,13.3,12.0,14.5,14.2,13.0,15.7,13.9,14.2,16.3,15.0,14.6,15.7,15.3
M,BS-RAS,SA,BAL,EE,18.5,23.7,18.6,19.0,20.7,24.9,27.0,23.8,24.3,26.6,22.0,22.1,24.3,26.6,25.9,24.2,23.3,20.7,16.4,20.2,23.5,15.1,14.7,13.4,8.9,10.4,15.8,20.5,20.1,13.4,14.1,19.3,19.2,17.9,16.3,15.5,16.7
M,BS-RAS,SA,BAL,EL,-2.1,-1.0,10.1,10.0,7.4,16.6,6.9,9.3,7.9,22.1,17.1,19.0,19.3,20.2,25.7,22.8,19.1,16.6,15.8,13.2,20.6,19.6,13.3,18.5,17.7,18.9,18.6,20.0,21.1,20.2,25.3,24.0,18.8,13.0,16.4,53.0,24.6
M,BS-RAS,SA,BAL,ES,7.9,4.2,9.8,6.0,5.5,11.1,9.0,9.1,9.9,9.5,9.4,11.0,10.0,7.4,13.3,12.1,15.3,11.2,13.5,9.0,14.0,,,,,,,,,,,,,,,,
M,BS-RAS,SA,BAL,EU27_2020,7.3,8.2,10.5,10.3,12.0,12.9,14.1,15.1,15.1,17.1,16.7,14.3,14.4,15.1,14.7,15.1,15.4,13.6,14.1,13.4,14.6,14.2,13.5,12.8,12.7,11.7,14.0,13.5,12.6,15.2,13.6,13.9,15.6,14.4,14.1,15.2,14.5
M,BS-RAS,SA,BAL,FI,11.4,23.6,11.3,15.1,18.6,13.2,26.4,10.8,12.6,8.7,4.0,7.4,7.4,11.5,4.2,10.2,4.6,2.3,7.5,10.8,4.5,-3.3,3.0,-4.6,-5.6,3.4,10.1,-2.8,5.5,-2.6,-10.4,-1.2,4.5,5.7,4.0,2.5,7.4
M,BS-RAS,SA,BAL,FR,7.0,7.3,9.7,8.0,8.0,16.2,17.1,16.0,15.7,22.2,21.5,15.8,18.1,18.0,16.9,15.3,16.4,13.9,11.9,12.5,12.8,13.5,13.8,12.8,15.5,13.7,16.2,14.2,13.3,17.3,12.8,14.1,17.9,17.8,16.7,17.8,15.0
M,BS-RAS,SA,BAL,HR,1.7,8.0,18.5,7.6,14.0,14.6,7.4,0.3,2.3,2.9,-0.6,1.6,9.4,4.8,9.3,5.1,8.8,6.8,8.6,3.9,-3.5,2.3,3.2,1.8,15.7,6.0,7.9,8.7,11.3,15.6,8.0,9.7,10.0,16.1,11.5,10.3,11.0
M,BS-RAS,SA,BAL,HU,-4.0,-2.4,6.0,3.0,0.9,-3.1,-1.4,-2.7,3.1,3.7,4.8,3.0,5.0,-0.9,5.4,3.1,0.6,6.1,3.7,1.8,5.2,5.3,4.4,8.2,8.1,8.9,9.0,7.8,13.2,9.2,9.2,15.7,11.1,9.6,11.5,11.0,9.6
M,BS-RAS,SA,BAL,IE,4.4,6.3,7.8,7.7,8.8,9.8,10.5,11.1,11.1,12.7,12.3,10.7,10.8,11.3,11.0,11.3,11.5,10.5,10.7,13.1,7.0,21.0,14.7,12.2,11.0,19.7,16.8,18.1,18.5,13.9,5.6,14.7,8.5,11.3,7.8,8.1,19.1
M,BS-RAS,SA,BAL,IT,3.9,7.2,5.0,5.7,6.8,5.3,8.8,10.5,7.5,9.8,9.1,6.7,7.3,10.0,5.7,7.0,7.9,7.7,7.4,8.3,8.7,6.6,4.7,5.3,7.9,7.9,7.6,8.8,7.8,7.8,6.3,9.1,9.7,6.7,7.8,4.9,8.0
M,BS-RAS,SA,BAL,LT,-2.1,-3.4,-3.1,-4.2,-3.1,0.9,0.0,0.6,1.5,1.7,2.8,3.8,4.4,4.1,3.0,-0.3,-0.6,0.5,1.2,1.3,-0.8,-1.3,-1.3,-1.1,0.7,3.7,0.0,1.1,-0.2,-0.1,-0.2,-0.4,0.9,-0.3,0.0,0.3,-0.7
M,BS-RAS,SA,BAL,LV,-2.2,-3.8,-0.3,2.3,0.5,2.4,2.2,-0.5,0.4,1.0,1.9,1.3,3.6,2.3,-0.3,1.1,-0.7,0.1,-0.5,-1.5,-0.3,0.7,1.6,2.8,1.2,0.2,2.2,0.5,1.0,1.0,1.5,1.6,0.0,0.8,1.0,1.3,2.3
M,BS-RAS,SA,BAL,ME,0.0,-0.5,-1.5,-3.5,-6.5,0.5,-0.5,0.0,-0.5,-4.0,1.5,3.5,1.5,3.5,5.0,2.5,0.5,1.0,0.0,3.5,0.5,3.0,0.0,6.5,0.5,3.0,1.5,2.0,-0.5,1.5,1.0,1.5,1.5,-1.0,0.5,0.0,2.5
