freq,indic,s_adj,geo\TIME_PERIOD,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01
M,BS-CCI-BAL,SA,AL,-7.8,-2.1,-0.4,-2.2,-1.0,2.5,-4.4,-2.5,-8.7,-5.3,-6.4,2.1,-5.1,2.8,-1.9,-4.1,-4.0,-2.1,-0.6,-2.0,-2.0,-3.2,-0.4,-3.3,-1.7,-6.7,-4.6,1.3,-4.1,-4.3,-5.9,-4.3,-8.0,-6.5,-4.7,-4.4,-3.1
M,BS-CCI-BAL,SA,AT,2.5,-2.1,1.1,-3.4,-5.8,-8.7,-10.9,-10.3,-9.7,-12.0,-11.1,-7.7,-13.9,-13.4,-16.0,-14.5,-13.5,-12.7,-15.9,-17.5,-12.1,-16.1,-10.1,-14.7,-16.8,-16.6,-20.6,-18.1,-19.2,-18.6,-16.3,-17.7,-16.7,-13.8,-14.2,-18.4,-19.7
M,BS-CCI-BAL,SA,BE,-0.6,1.2,1.3,0.7,-0.3,0.1,-4.3,-2.3,-5.6,-4.6,-8.0,-6.2,-8.3,-3.9,-5.0,-3.2,-1.7,-6.5,-11.9,-9.9,-5.0,-2.5,-1.3,-3.2,-1.2,-3.6,-5.6,-5.7,-8.4,-7.6,-7.2,-9.0,-8.7,-8.9,-9.2,-6.5,-10.6
M,BS-CCI-BAL,SA,BG,-7.6,-9.6,-4.3,-5.2,-3.2,-4.7,-4.6,-3.9,-5.2,-2.7,-2.0,0.7,1.5,-1.4,-1.6,-3.4,-7.5,-5.7,-5.4,-5.8,-0.1,-4.2,-3.2,0.3,-0.7,-2.5,-4.2,-4.3,-2.2,2.6,5.0,5.3,1.1,2.4,2.2,0.4,-2.1
M,BS-CCI-BAL,SA,CY,-14.8,-14.5,-17.5,-12.8,-11.1,-13.4,-7.8,-10.8,-10.1,-6.1,1.2,-3.0,-6.9,-2.1,-3.7,1.4,-4.7,-8.2,0.2,2.5,-1.4,1.8,1.0,-0.3,-7.7,2.0,-1.1,6.8,5.3,7.8,13.7,8.5,5.1,10.7,13.9,13.9,0.5
M,BS-CCI-BAL,SA,CZ,-14.3,-15.7,-16.4,-15.5,-15.1,-14.1,-17.5,-14.2,-15.1,-14.4,-9.7,-12.7,-7.7,-8.9,-10.2,-13.3,-13.1,-14.0,-10.8,-11.9,-10.5,-8.5,-3.2,-3.8,-4.9,-4.6,-4.2,-2.9,-3.7,0.6,-0.3,1.0,2.3,-0.5,-4.0,-2.8,-5.1
M,BS-CCI-BAL,SA,DE,-1.9,-4.2,-5.0,-6.1,-7.3,-12.9,-15.6,-17.1,-18.2,-18.0,-17.7,-17.1,-18.2,-18.1,-19.4,-17.6,-18.5,-17.5,-17.0,-16.5,-15.2,-15.7,-17.1,-14.6,-15.3,-15.4,-14.1,-16.3,-16.2,-13.8,-13.0,-12.7,-14.9,-13.7,-12.4,-11.9,-11.0
M,BS-CCI-BAL,SA,DK,-15.3,-17.8,-12.5,-15.5,-12.3,-11.9,-12.2,-11.7,-11.3,-13.1,-9.7,-12.8,-13.1,-9.4,-14.0,-10.2,-10.6,-11.9,-8.5,-9.7,-9.4,-9.4,-8.6,-6.4,-8.7,-10.0,-9.3,-10.5,-11.0,-9.4,-11.7,-10.1,-10.7,-9.3,-11.0,-10.9,-10.0
M,BS-CCI-BAL,SA,EA20,1.8,2.2,1.4,1.4,0.4,-1.3,-2.6,-4.2,-4.6,-4.2,-3.1,-2.4,-3.6,-4.4,-4.3,-4.7,-4.8,-5.9,-5.3,-5.2,-4.4,-3.8,-3.9,-3.8,-3.0,-3.4,-3.6,-4.0,-3.4,-2.9,-3.1,-3.5,-3.3,-2.5,-1.6,-1.3,
M,BS-CCI-BAL,SA,EA21,1.8,2.2,1.5,1.5,0.5,-1.2,-2.4,-4.0,-4.4,-3.9,-2.9,-2.1,-3.2,-4.0,-4.0,-4.3,-4.5,-5.6,-5.0,-4.9,-4.1,-3.4,-3.5,-3.5,-2.5,-3.0,-3.2,-3.6,-3.0,-2.5,-2.8,-3.1,-3.0,-2.2,-1.2,-0.9,-0.9
