freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01_value,2023-01_flag,2023-02_value,2023-02_flag,2023-03_value,2023-03_flag,2023-04_value,2023-04_flag,2023-05_value,2023-05_flag,2023-06_value,2023-06_flag,2023-07_value,2023-07_flag,2023-08_value,2023-08_flag,2023-09_value,2023-09_flag,2023-10_value,2023-10_flag,2023-11_value,2023-11_flag,2023-12_value,2023-12_flag,2024-01_value,2024-01_flag,2024-02_value,2024-02_flag,2024-03_value,2024-03_flag,2024-04_value,2024-04_flag,2024-05_value,2024-05_flag,2024-06_value,2024-06_flag,2024-07_value,2024-07_flag,2024-08_value,2024-08_flag,2024-09_value,2024-09_flag,2024-10_value,2024-10_flag,2024-11_value,2024-11_flag,2024-12_value,2024-12_flag,2025-01_value,2025-01_flag,2025-02_value,2025-02_flag,2025-03_value,2025-03_flag,2025-04_value,2025-04_flag,2025-05_value,2025-05_flag,2025-06_value,2025-06_flag,2025-07_value,2025-07_flag,2025-08_value,2025-08_flag,2025-09_value,2025-09_flag,2025-10_value,2025-10_flag,2025-11_value,2025-11_flag,2025-12_value,2025-12_flag
M,EMP,C22,SCA,I21,AT,104.2,i,104.3,i,104.2,i,104.0,i,104.4,i,104.1,i,104.0,i,104.3,i,104.5,i,104.4,i,102.7,i,104.8,i,104.4,i,104.3,i,104.2,i,104.2,i,104.2,i,103.9,i,103.3,i,102.8,i,102.5,i,103.4,i,103.0,i,103.0,i,102.6,i,102.6,i,102.3,i,102.4,i,101.9,i,101.7,i,101.1,i,100.5,i,100.8,i,100.5,i,101.0,i,101.2,p
M,EMP,C22,SCA,I21,DE,101.1,i,100.8,i,100.7,i,100.6,i,100.3,i,100.0,i,99.7,i,99.3,i,99.2,i,99.0,i,98.8,i,98.6,i,98.7,i,98.6,i,98.8,i,98.0,i,98.0,i,97.6,i,97.1,i,96.8,i,96.6,i,96.8,i,96.6,i,96.2,i,95.4,i,94.7,i,94.5,i,94.2,i,94.0,i,94.0,i,94.2,i,93.9,i,93.7,i,93.0,i,92.8,i,,:
M,EMP,C22,SCA,I21,MK,89.3,i,89.9,i,90.6,i,88.6,i,89.0,i,89.2,i,89.4,i,87.6,i,88.2,i,88.4,i,88.8,i,89.3,i,88.7,i,90.4,i,90.0,i,89.8,i,90.0,i,89.6,i,89.6,i,90.2,i,90.1,i,91.8,i,92.0,i,91.8,i,91.7,i,91.1,i,92.6,i,92.8,i,93.7,i,93.9,i,94.4,i,95.6,i,94.8,i,94.6,i,94.0,i,95.2,i
M,EMP,C22,SCA,I21,PT,103.4,i,103.3,i,103.7,i,101.5,i,101.5,i,101.6,i,101.1,i,101.0,i,101.0,i,101.1,i,101.9,i,102.0,i,99.7,i,99.6,i,99.7,i,99.4,i,99.7,i,100.2,i,100.4,i,100.5,i,100.7,i,100.5,i,100.7,i,101.2,i,101.5,i,101.4,i,100.5,i,101.3,i,101.3,i,101.3,i,102.1,i,101.8,i,102.0,i,102.9,i,103.2,i,101.8,i
M,HW,C22,SCA,I21,AT,103.6,,104.7,,104.9,,103.4,,103.5,,103.6,,104.2,,103.0,,105.0,,104.0,,102.8,,104.9,,103.9,,102.9,,103.1,,104.6,,101.0,,104.6,,102.2,,100.1,,103.3,,104.4,,102.1,,101.4,,101.1,,101.5,,101.6,,101.7,,100.2,,100.6,,100.7,,101.6,,100.1,,101.1,,102.3,,100.2,p
M,HW,C22,SCA,I21,DE,99.1,i,99.5,i,98.2,i,98.3,i,98.6,i,96.6,i,98.3,i,97.3,i,97.1,i,96.2,i,96.1,i,95.1,i,95.8,i,97.2,i,95.4,i,96.2,i,94.6,i,95.9,i,94.4,i,95.0,i,94.8,i,93.9,i,94.5,i,94.7,i,92.5,i,91.7,i,93.7,i,92.2,i,92.4,i,92.3,i,92.2,i,92.4,i,91.4,i,91.8,i,91.3,i,,:
M,HW,C22,SCA,I21,PT,104.1,i,101.2,i,102.6,i,99.6,i,100.5,i,101.2,i,99.9,i,101.4,i,101.1,i,100.6,i,102.1,i,100.2,i,103.9,i,102.1,i,102.8,i,102.1,i,102.1,i,103.2,i,103.6,i,103.7,i,101.6,i,103.0,i,102.6,i,101.4,i,,: @C,,: @C,,: @C,,: @C,,: @C,,:,,:,,:,,:,,:,,:,,:
M,HW,C22,SCA,I21,SE,99.8,i,101.6,i,99.0,i,102.7,i,97.6,i,102.4,i,99.4,i,98.9,i,100.4,i,101.5,i,101.7,i,104.0,i,108.1,i,107.0,i,107.5,i,103.0,i,108.7,i,106.9,i,106.2,i,104.5,i,108.7,i,106.8,i,107.0,i,104.3,i,104.6,i,105.9,i,106.0,i,108.1,i,107.7,i,107.5,i,110.3,i,109.8,i,108.1,i,109.6,i,111.5,i,,:
M,WAGE,C22,SCA,I21,AT,109.2,,110.3,,109.4,,112.5,,116.2,,115.2,,114.5,,115.4,,116.2,,117.1,,117.0,,117.2,,117.4,,113.3,,118.2,,117.7,,119.7,,124.1,,122.3,,121.9,,121.8,,121.9,,122.7,,123.1,,122.3,,122.9,,122.6,,123.2,,121.8,,118.6,,133.3,,121.7,,123.2,,121.3,,122.1,,121.2,p
M,WAGE,C22,SCA,I21,DE,106.9,i,105.3,i,106.7,i,106.3,i,107.2,i,105.7,i,106.9,i,106.9,i,106.3,i,107.4,i,106.8,i,106.6,i,109.4,i,108.6,i,107.6,i,108.0,i,108.2,i,108.2,i,108.1,i,108.1,i,108.5,i,108.9,i,108.0,i,108.2,i,107.3,i,108.2,i,107.7,i,112.6,i,108.0,i,108.5,i,108.9,i,108.7,i,115.1,i,108.3,i,108.8,i,,:
M,WAGE,C22,SCA,I21,FI,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C
