freq,indic_bt,cpa2_1,s_adj,unit,geo\TIME_PERIOD,2023-01_value,2023-01_flag,2023-02_value,2023-02_flag,2023-03_value,2023-03_flag,2023-04_value,2023-04_flag,2023-05_value,2023-05_flag,2023-06_value,2023-06_flag,2023-07_value,2023-07_flag,2023-08_value,2023-08_flag,2023-09_value,2023-09_flag,2023-10_value,2023-10_flag,2023-11_value,2023-11_flag,2023-12_value,2023-12_flag,2024-01_value,2024-01_flag,2024-02_value,2024-02_flag,2024-03_value,2024-03_flag,2024-04_value,2024-04_flag,2024-05_value,2024-05_flag,2024-06_value,2024-06_flag,2024-07_value,2024-07_flag,2024-08_value,2024-08_flag,2024-09_value,2024-09_flag,2024-10_value,2024-10_flag,2024-11_value,2024-11_flag,2024-12_value,2024-12_flag,2025-01_value,2025-01_flag,2025-02_value,2025-02_flag,2025-03_value,2025-03_flag,2025-04_value,2025-04_flag,2025-05_value,2025-05_flag,2025-06_value,2025-06_flag,2025-07_value,2025-07_flag,2025-08_value,2025-08_flag,2025-09_value,2025-09_flag,2025-10_value,2025-10_flag,2025-11_value,2025-11_flag,2025-12_value,2025-12_flag
M,PRC_IMP,CPA_B,NSA,I15,AL,108.9,,110.0,,110.0,,108.8,,108.7,,108.7,,107.6,,107.4,,107.4,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I15,CH,266.6,,220.2,,216.5,,218.1,,172.8,,197.8,,187.2,,208.6,,201.3,,222.4,,192.0,,164.4,,136.6,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I15,DE,254.8,,218.3,,206.3,,192.6,,181.4,,166.6,,167.8,,170.4,,186.6,,193.0,,199.3,,188.4,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I15,DK,203.2,,197.8,,182.7,,201.7,,182.8,,182.4,,183.6,,199.0,,220.0,,218.2,,204.0,,187.0,,190.1,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I15,EA19,229.6,,207.6,,192.3,,182.4,,168.3,,158.7,,161.6,,166.7,,178.9,,183.1,,182.5,,176.0,i,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I15,EA20,230.8,,208.6,,192.7,,182.9,,168.5,,159.4,,162.0,,166.7,,179.4,,183.0,,182.4,,176.0,i,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I15,EE,198.8,,168.9,,145.1,,142.0,,124.6,,121.8,,109.6,,117.3,,118.5,,121.1,,120.7,,111.3,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I15,EL,224.1,,203.6,,190.7,,187.8,,173.5,,174.4,,198.1,,198.9,,218.9,,203.3,,195.9,,183.8,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I15,ES,228.9,,200.7,,187.3,,182.9,,169.4,,163.0,,163.4,,168.7,,174.7,,174.6,p,174.4,p,171.4,p,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I15,EU27_2020,230.1,,208.4,,192.7,,183.8,,169.5,,160.7,,163.7,,168.3,,181.5,,184.9,,183.7,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I15,FI,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I15,FR,243.1,,254.3,,228.8,,222.6,,192.1,,178.9,,182.3,,191.7,,208.4,,212.4,p,206.4,p,194.2,p,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I15,HR,464.7,,389.3,,261.2,,267.8,,207.4,,275.7,,241.8,,157.6,,264.5,,163.8,,173.7,,130.5,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I15,IT,150.8,,135.7,,122.5,,114.0,,104.5,,103.2,,102.7,,102.7,,109.6,,118.9,,120.8,,110.6,p,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I15,LT,214.1,,212.9,,178.3,,165.7,,149.1,,143.1,,145.5,,153.8,,171.4,,174.0,,179.8,,196.5,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I15,LV,283.1,,189.0,,161.9,,140.4,,136.1,,114.4,,110.3,,102.0,,111.1,,114.2,,135.9,,134.4,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I15,ME,136.5,,136.5,,142.5,,137.3,,137.3,,137.3,,137.3,,137.3,,137.3,,137.3,,137.3,,137.3,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I15,NL,265.0,,225.1,,216.6,,199.9,,189.5,,175.9,,181.2,,191.7,p,201.6,p,205.0,p,199.0,p,191.6,p,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I15,NO,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I15,SE,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I15,SI,422.2,,516.2,,526.1,,489.7,,481.4,,465.9,,463.6,,465.5,,460.2,,471.9,,463.3,,467.2,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I15,SK,235.0,,203.6,,154.9,,161.6,,143.6,,140.0,,146.1,,156.0,,171.0,,176.4,,171.3,,160.7,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I21,AL,114.0,,115.2,,115.2,,114.0,,113.9,,113.8,,112.7,,112.5,,112.5,,112.4,,112.4,,112.4,,111.3,,111.5,,111.6,,112.0,,112.2,,112.2,,111.9,,111.9,,111.8,,112.2,,112.3,,112.3,,112.1,,112.1,,112.2,,112.2,,112.2,,112.2,,112.2,,112.3,,112.3,,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I21,CH,237.8,,196.5,,193.1,,194.5,,154.1,,176.4,,167.0,,186.1,,179.6,,198.4,,171.3,,146.7,,121.8,,139.6,,132.2,,138.2,,132.5,,127.8,,130.5,,131.3,,139.0,,143.6,,128.4,,129.3,,131.5,,132.2,,134.3,,126.5,,113.4,,118.5,,132.2,,136.5,,123.6,,119.1,,105.7,,99.2,
M,PRC_IMP,CPA_B,NSA,I21,DE,158.1,,138.3,,130.6,,121.9,,113.6,,109.7,,110.0,,113.6,,122.3,,125.8,,123.6,,115.4,,112.9,,108.2,,108.4,,111.9,,112.8,,114.5,,112.6,,110.8,,107.5,,110.7,,113.8,,116.0,,120.0,,120.6,,114.6,,102.1,,98.1,,101.1,,98.7,,94.3,,95.8,,94.7,,96.3,,93.6,
M,PRC_IMP,CPA_B,NSA,I21,DK,141.6,,137.9,,127.3,,140.6,,127.4,,127.1,,128.0,,138.7,,153.3,,152.1,,142.2,,130.3,,132.5,,136.8,,141.4,,147.5,,138.7,,137.2,,141.9,,135.3,,123.1,,125.3,,128.1,,128.3,,134.6,,131.4,,129.0,,119.9,,110.7,,117.7,,117.1,,112.4,,111.4,,106.5,,107.4,,105.6,
M,PRC_IMP,CPA_B,NSA,I21,EA19,172.5,,153.0,,142.1,,133.2,,123.2,,117.4,,119.8,,123.9,,132.1,,135.1,,133.3,,126.8,,121.9,,119.2,,120.2,,122.5,,121.3,,122.8,,124.8,,123.0,i,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_IMP,CPA_B,NSA,I21,EA20,173.2,,154.2,,142.0,,133.3,,123.1,,117.7,,119.8,,123.5,,132.2,,134.6,,132.9,,126.0,,121.2,,118.6,,119.2,,121.5,,120.4,,121.9,,123.7,,120.9,,117.0,,117.0,,120.1,,122.4,,126.4,,128.2,,122.1,,111.7,,105.5,,107.7,,107.9,,104.6,,104.2,,101.1,,101.1,,98.9,i
M,PRC_IMP,CPA_B,NSA,I21,EA21,173.2,,154.2,,142.0,,133.3,,123.1,,117.7,,119.8,,123.5,,132.2,,134.6,,132.9,,126.0,,121.2,,118.6,,119.2,,121.5,,120.4,,121.9,,123.7,,120.9,,117.0,,117.0,,120.1,,122.4,,126.4,,128.2,,122.1,,111.7,,105.5,,107.7,,107.9,,104.6,,104.2,,101.1,,101.1,,98.9,i
M,PRC_IMP,CPA_B,NSA,I21,EE,221.7,,188.3,,161.8,,158.4,,138.9,,135.7,,122.2,,130.8,,132.1,,135.1,,134.5,,124.1,,122.6,,117.3,,107.1,,105.9,,114.7,,120.1,,119.6,,130.0,,131.8,,130.3,,133.0,,133.1,,133.6,,135.4,,130.6,,129.1,,142.7,,137.8,,132.4,,122.9,,122.9,,122.0,,120.8,,120.6,
M,PRC_IMP,CPA_B,NSA,I21,EL,125.8,,114.3,,107.1,,105.5,,97.4,,97.9,,111.2,,111.7,,122.9,,114.1,,110.0,,103.2,,108.2,,108.4,,112.0,,111.4,,104.2,,110.0,,104.0,,101.6,,94.6,,98.2,,99.5,,102.2,,105.3,,102.7,,104.7,,90.1,,88.3,,92.2,,98.0,,92.1,,90.1,,88.0,,85.0,,,:
M,PRC_IMP,CPA_B,NSA,I21,ES,176.5,,154.8,,144.5,,141.1,,130.7,,125.7,,126.1,,130.1,,134.8,,134.7,,134.5,,132.3,,129.6,,129.0,,132.5,,138.5,,138.2,,140.5,,140.3,,139.6,,135.4,,138.1,,137.1,,138.7,,142.5,,145.6,,139.9,,129.0,,124.8,,126.4,,126.0,,124.1,,123.0,,121.5,p,120.5,p,119.5,p
M,PRC_IMP,CPA_B,NSA,I21,EU27_2020,172.5,,154.0,,142.0,,134.0,,123.8,,118.6,,120.9,,124.5,,133.6,,135.9,,133.7,,126.6,,122.0,,119.8,,120.5,,122.9,,121.7,,123.0,,124.8,,122.0,,117.6,,117.7,,120.8,,123.1,,127.2,,128.7,,122.4,,112.0,,105.8,,108.2,,108.4,,105.1,,104.6,,101.6,,101.5,,99.3,i
M,PRC_IMP,CPA_B,NSA,I21,FI,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C
M,PRC_IMP,CPA_B,NSA,I21,FR,152.6,,159.6,,143.6,,139.7,,120.6,,112.3,,114.4,,120.3,,130.8,,133.1,,130.1,,123.2,,119.0,,118.0,,116.1,,117.6,,113.1,,119.1,,122.4,,120.3,,116.4,,116.4,,123.8,,122.2,,129.3,,129.7,,123.6,,108.1,,103.3,,106.0,,101.3,,99.1,,101.5,,96.7,p,96.0,p,91.6,p
M,PRC_IMP,CPA_B,NSA,I21,HR,351.4,,389.3,,197.5,,202.5,,156.8,,208.2,,181.8,,119.7,,200.1,,123.9,,130.0,,85.1,,82.6,,92.4,,44.5,,45.0,,43.9,,43.9,,46.8,,49.1,,45.2,,48.2,,48.3,,50.9,,59.9,,68.8,,65.1,,57.5,,52.1,,53.7,,53.1,,51.3,,51.2,,49.6,,50.6,,,:
M,PRC_IMP,CPA_B,NSA,I21,IT,146.0,,131.3,,118.6,,110.3,,101.1,,99.8,,99.4,,99.4,,106.1,,115.1,,116.9,,107.0,,101.6,,100.0,,103.8,,106.9,,106.7,,105.5,,111.2,,108.1,,101.9,,101.0,,103.0,,107.6,,108.7,,112.7,,106.9,,100.2,,90.1,,92.2,,93.9,,92.0,,89.3,,85.6,,86.4,p,,:
M,PRC_IMP,CPA_B,NSA,I21,LT,132.6,,131.9,,110.5,,102.6,,92.4,,88.6,,90.1,,95.2,,106.2,,107.8,,111.4,,121.7,,94.9,,95.2,,91.7,,96.3,,95.8,,95.2,,100.6,,97.1,,88.6,,84.9,,89.4,,90.4,,91.6,,93.3,,95.7,,90.5,,81.0,,81.9,,83.1,,84.0,,77.8,,73.9,,73.6,,,:
M,PRC_IMP,CPA_B,NSA,I21,LV,254.1,,169.7,,145.3,,126.0,,122.2,,102.7,,99.0,,91.6,,99.7,,102.5,,122.0,,120.6,,105.2,,93.5,,89.9,,90.0,,95.6,,106.8,,111.0,,108.5,,118.9,,120.6,,120.6,,138.4,,146.6,,150.8,,147.5,,135.9,,118.5,,116.9,,120.4,,115.5,,111.4,,110.2,,109.9,,,:
M,PRC_IMP,CPA_B,NSA,I21,ME,126.3,,126.3,,131.8,,127.0,,127.0,,127.0,,127.0,,127.0,,127.0,,127.0,,127.0,,127.0,,127.0,,127.0,,127.0,,127.0,,127.0,,129.1,,129.1,,129.1,,129.1,,129.1,,129.1,,129.1,,129.1,,129.1,,129.1,,129.1,,129.1,,127.8,,127.8,,127.8,,129.1,,129.1,,129.1,,129.1,
