freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01
M,PRC_PRR,C12,NSA,I21,BE,112.4,112.5,113.0,115.0,115.0,115.0,115.0,115.0,115.3,115.3,115.3,115.2,117.2,117.4,117.7,118.3,118.3,118.5,118.7,118.7,118.7,118.6,118.6,118.6,119.1,119.1,119.5,119.8,119.8,120.0,120.4,120.6,120.8,120.6,121.3,121.5,
M,PRC_PRR,C12,NSA,I21,BG,109.8,110.2,132.3,133.1,134.6,134.7,137.1,137.1,138.4,138.4,138.4,138.4,138.4,137.6,133.3,133.3,133.3,135.7,135.6,135.6,135.6,139.9,139.9,139.9,142.2,131.1,131.1,131.1,126.1,125.8,125.8,125.7,125.7,125.7,126.4,127.2,
M,PRC_PRR,C12,NSA,I21,CH,104.8,104.8,102.3,102.3,102.3,101.8,101.8,101.8,99.6,99.6,99.6,97.1,97.1,97.1,100.8,100.8,100.8,104.5,104.5,104.5,101.5,101.5,101.5,103.3,103.3,103.3,108.1,108.1,108.1,105.4,105.4,105.4,105.6,105.6,105.6,108.5,
M,PRC_PRR,C12,NSA,I21,DE,109.9,110.6,111.4,112.1,112.1,112.5,113.2,113.3,113.8,113.9,113.9,114.8,116.9,116.9,117.4,118.2,118.3,118.4,118.4,119.0,119.6,119.7,119.7,119.9,122.1,122.5,123.7,126.3,126.4,126.4,126.4,126.4,126.4,127.2,127.5,128.9,
M,PRC_PRR,C12,NSA,I21,DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,PRC_PRR,C12,NSA,I21,EA19,108.1,108.5,109.1,109.6,109.7,110.0,109.9,110.0,110.4,110.6,110.7,111.2,113.3,113.7,114.3,115.4,115.5,115.6,115.6,115.9,,,,,,,,,,,,,,,,,
M,PRC_PRR,C12,NSA,I21,EA20,108.1,108.5,109.1,109.6,109.7,110.0,109.9,110.0,110.4,110.6,110.7,111.2,113.3,113.7,114.3,115.5,115.5,115.6,115.6,115.9,116.3,116.4,116.4,116.5,118.5,118.9,119.6,121.7,121.9,121.9,121.8,121.8,121.9,123.1,123.3,124.3,
M,PRC_PRR,C12,NSA,I21,EA21,108.1,108.5,109.2,109.7,109.8,110.1,110.1,110.2,110.6,110.8,110.8,111.4,113.5,113.9,114.4,115.6,115.6,115.7,115.7,116.0,116.4,116.5,116.5,116.7,118.6,118.9,119.7,121.8,121.9,121.9,121.8,121.8,122.0,123.1,123.4,124.3,
M,PRC_PRR,C12,NSA,I21,EL,111.0,111.3,111.3,110.5,110.8,110.9,110.0,110.7,112.3,112.5,111.3,110.9,111.3,111.7,111.3,111.6,111.3,111.5,111.1,110.5,110.0,110.9,110.0,110.6,110.8,110.5,108.8,107.2,107.0,106.1,105.5,106.2,105.9,106.2,106.9,106.4,
M,PRC_PRR,C12,NSA,I21,ES,101.9,102.0,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,103.5,103.7,103.7,104.0,104.0,104.0,104.0,104.0,104.0,104.0,103.9,104.0,105.1,106.1,106.1,106.2,106.2,106.3,106.3,106.3,106.3,106.3,106.3,106.3,
M,PRC_PRR,C12,NSA,I21,EU27_2020,108.9,109.5,110.3,110.9,111.0,111.3,111.3,111.6,111.9,112.2,112.4,112.7,114.5,115.1,115.4,116.5,116.7,116.9,117.0,117.3,117.7,117.9,117.8,118.0,119.9,120.1,120.7,122.5,122.7,122.7,122.7,122.9,123.0,124.2,124.5,125.4,
