freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01_value,2023-01_flag,2023-02_value,2023-02_flag,2023-03_value,2023-03_flag,2023-04_value,2023-04_flag,2023-05_value,2023-05_flag,2023-06_value,2023-06_flag,2023-07_value,2023-07_flag,2023-08_value,2023-08_flag,2023-09_value,2023-09_flag,2023-10_value,2023-10_flag,2023-11_value,2023-11_flag,2023-12_value,2023-12_flag,2024-01_value,2024-01_flag,2024-02_value,2024-02_flag,2024-03_value,2024-03_flag,2024-04_value,2024-04_flag,2024-05_value,2024-05_flag,2024-06_value,2024-06_flag,2024-07_value,2024-07_flag,2024-08_value,2024-08_flag,2024-09_value,2024-09_flag,2024-10_value,2024-10_flag,2024-11_value,2024-11_flag,2024-12_value,2024-12_flag,2025-01_value,2025-01_flag,2025-02_value,2025-02_flag,2025-03_value,2025-03_flag,2025-04_value,2025-04_flag,2025-05_value,2025-05_flag,2025-06_value,2025-06_flag,2025-07_value,2025-07_flag,2025-08_value,2025-08_flag,2025-09_value,2025-09_flag,2025-10_value,2025-10_flag,2025-11_value,2025-11_flag,2025-12_value,2025-12_flag
M,PRC_PRR,C171,NSA,I15,AT,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR,C171,NSA,I15,DE,157.2,,153.9,,150.4,,146.4,,143.7,,141.8,,138.8,,136.9,,135.9,,134.2,,133.5,,132.8,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR,C171,NSA,I15,EA19,151.7,,148.4,,144.7,,140.5,,137.6,,135.0,,131.0,,129.1,,127.6,,126.1,,125.5,,125.1,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR,C171,NSA,I15,EA20,151.7,,148.4,,144.7,,140.5,,137.6,,135.0,,131.0,,129.1,,127.6,,126.1,,125.5,,125.1,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR,C171,NSA,I15,EL,131.6,,131.2,,130.4,,130.5,,133.1,,134.8,,130.2,,130.9,,131.0,,130.5,,130.5,,128.9,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR,C171,NSA,I15,ES,160.5,,154.5,,152.0,,149.8,,146.0,,142.7,,139.3,,136.5,,135.4,,134.6,p,134.3,p,134.9,p,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR,C171,NSA,I15,EU27_2020,154.7,,151.3,,147.8,,143.6,,140.7,,138.5,,134.9,,132.6,,131.7,,130.1,,128.5,,128.1,i,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR,C171,NSA,I15,FI,142.5,,141.2,,137.8,,133.5,,131.0,,127.6,,123.4,,121.0,,119.5,,119.0,,118.8,,118.5,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR,C171,NSA,I15,FR,148.8,,145.8,,141.1,,135.2,,133.2,,131.2,,127.2,,125.5,,124.3,,121.9,p,120.6,p,119.5,p,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR,C171,NSA,I15,HU,211.2,,186.5,,174.0,,160.0,,149.5,,144.6,,145.4,,143.5,,150.9,,144.5,,141.6,,140.2,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
