freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
M,PRC_PRR,C2229,NSA,I21,DE,112.6,113.0,112.9,113.2,113.3,113.4,113.3,113.3,113.2,113.0,113.6,114.6,114.5,114.2,114.6,114.0,114.4,114.4,114.1,114.4,114.4,114.4,114.6,114.7,115.3,115.4,115.0,115.0,115.6,115.5,115.5,115.5,115.5,115.5,115.5,115.4
M,PRC_PRR,C2229,NSA,I21,EA19,113.9,114.2,113.9,113.9,113.9,114.0,113.8,113.7,113.6,113.4,113.2,113.1,113.1,113.2,113.6,113.1,113.3,113.0,113.1,113.1,,,,,,,,,,,,,,,,
M,PRC_PRR,C2229,NSA,I21,EA20,113.9,114.2,113.9,113.9,113.9,114.0,113.8,113.7,113.6,113.4,113.2,113.1,113.1,113.2,113.6,113.1,113.3,113.0,113.1,113.2,113.2,113.2,113.0,113.2,113.5,113.8,113.4,113.2,113.4,113.4,113.7,113.8,113.6,113.6,113.5,113.3
M,PRC_PRR,C2229,NSA,I21,EA21,113.9,114.2,113.9,113.9,113.9,114.0,113.8,113.7,113.6,113.4,113.2,113.1,113.1,113.2,113.6,113.1,113.3,113.0,113.1,113.2,113.2,113.2,113.0,113.2,113.5,113.8,113.4,113.2,113.4,113.4,113.7,113.8,113.6,113.6,113.5,113.3
M,PRC_PRR,C2229,NSA,I21,ES,109.5,110.2,110.1,110.3,110.4,110.3,110.3,110.4,110.4,110.3,110.3,110.0,109.8,109.7,109.7,109.6,109.6,109.7,109.6,109.8,109.7,109.7,109.7,109.7,109.8,110.0,109.8,109.7,110.0,110.0,110.0,109.8,109.8,110.0,109.7,109.6
M,PRC_PRR,C2229,NSA,I21,EU27_2020,114.1,114.4,114.1,114.1,114.1,114.2,114.0,113.9,113.8,113.7,113.5,113.4,113.4,113.5,113.9,113.4,113.6,113.4,113.5,113.5,113.6,113.6,113.4,113.6,113.9,114.1,113.8,113.6,113.8,113.8,114.1,114.2,113.9,114.0,113.9,113.7
M,PRC_PRR,C2229,NSA,I21,FI,,,,,,,,,,,,,123.6,124.2,124.2,124.0,124.2,124.7,124.5,125.0,125.0,125.9,125.7,126.5,126.2,126.7,126.5,127.0,126.8,127.2,127.2,126.9,127.3,127.3,127.5,128.0
M,PRC_PRR,C2229,NSA,I21,FR,108.5,109.5,109.5,108.7,109.0,110.6,110.1,110.7,110.5,111.3,109.4,106.7,106.9,107.9,107.4,107.4,107.8,108.4,108.4,107.6,108.5,108.1,107.6,107.8,108.4,108.7,107.8,106.8,107.0,107.0,108.1,108.6,107.6,107.7,107.7,107.6
M,PRC_PRR,C2229,NSA,I21,IT,118.4,117.9,117.1,116.9,116.4,115.9,115.9,115.4,115.1,114.7,113.8,113.4,113.3,113.5,114.5,113.7,113.5,112.3,112.9,113.1,112.9,113.0,112.3,112.4,112.3,112.8,112.4,112.4,112.1,112.2,112.6,112.7,112.3,112.3,112.0,111.9
M,PRC_PRR,C2229,NSA,I21,NL,120.8,120.8,120.9,120.6,120.4,120.0,118.8,118.6,118.5,118.2,118.6,118.2,117.9,118.5,118.6,118.6,118.7,118.8,119.2,118.9,119.1,118.8,118.9,119.0,119.7,120.0,120.9,120.2,119.8,119.8,120.2,120.2,120.6,120.6,120.3,118.8
M,PRC_PRR,C2229,NSA,I21,RO,110.0,110.7,111.5,111.6,112.2,112.5,111.9,111.9,112.2,112.3,112.3,,,,,,,,,,,,,,,,,,,,,,,,,
M,PRC_PRR,C2229,NSA,I21,SE,123.4,123.6,123.4,123.3,123.3,123.7,124.1,123.7,123.3,124.6,126.3,125.7,124.9,127.1,126.6,126.0,126.8,126.9,125.4,124.6,124.1,124.9,124.7,125.6,124.1,123.5,123.1,122.8,122.9,123.0,122.8,122.8,121.5,120.7,121.5,121.6
M,PRC_PRR,C2229,NSA,I21,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
