freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01
M,PRC_PRR_DOM,C10,NSA,I21,AT,123.0,123.4,124.0,123.7,123.5,124.0,123.6,122.8,122.3,121.9,122.1,122.4,122.2,122.0,122.3,122.2,122.3,122.6,122.9,122.6,122.6,123.4,123.7,123.8,124.4,124.1,124.5,125.7,126.3,126.4,126.3,126.0,125.7,125.3,125.0,124.8,
M,PRC_PRR_DOM,C10,NSA,I21,BE,131.0,132.8,132.5,132.7,132.5,130.6,129.8,129.8,128.7,128.9,129.0,129.4,129.5,132.4,136.3,138.2,135.8,137.9,136.0,135.4,135.6,137.0,140.8,143.0,138.8,137.3,139.6,138.4,139.8,137.6,137.9,137.7,137.4,136.7,133.3,133.2,
M,PRC_PRR_DOM,C10,NSA,I21,BG,136.2,135.9,136.1,135.3,135.3,135.2,134.7,135.1,134.9,133.6,133.3,133.8,133.9,133.7,133.7,133.6,133.9,134.1,134.4,134.1,133.9,133.8,135.1,135.9,150.9,145.0,175.1,175.8,164.4,164.7,165.7,165.2,165.8,166.4,166.2,166.1,
M,PRC_PRR_DOM,C10,NSA,I21,CH,103.8,103.6,105.9,106.0,106.0,106.1,106.4,106.3,106.3,106.5,106.6,106.9,107.0,107.3,107.3,107.6,107.6,107.8,107.8,107.9,108.7,108.5,108.5,109.1,109.2,109.1,109.8,110.2,110.4,110.8,111.0,111.1,110.8,110.6,110.3,109.9,
M,PRC_PRR_DOM,C10,NSA,I21,CZ,136.2,136.8,136.4,135.7,134.4,133.9,133.0,132.0,130.5,129.6,129.2,129.0,129.0,128.7,129.6,129.5,129.3,128.8,129.2,129.7,129.8,130.0,130.4,130.8,131.7,131.9,132.0,133.0,133.6,134.1,134.4,134.1,133.6,133.0,131.9,131.5,
M,PRC_PRR_DOM,C10,NSA,I21,DE,130.2,131.0,131.5,131.9,131.6,131.6,131.2,130.5,129.7,129.1,129.0,129.1,128.9,128.7,129.7,130.4,130.8,131.2,131.0,130.8,131.1,131.5,132.1,132.6,133.2,133.3,133.7,135.3,136.1,136.7,136.1,135.8,135.7,134.0,133.0,132.1,
M,PRC_PRR_DOM,C10,NSA,I21,DK,129.0,130.8,131.6,132.0,131.0,130.7,129.6,128.7,128.4,127.0,126.6,126.7,126.5,125.8,126.7,127.8,127.9,127.4,126.4,126.6,125.5,126.8,127.1,128.2,129.3,129.9,130.2,130.7,130.7,130.9,130.5,130.0,129.7,130.4,129.4,128.7,128.7
M,PRC_PRR_DOM,C10,NSA,I21,EA19,127.8,128.5,129.5,129.7,129.2,128.7,128.4,128.1,127.7,127.4,127.2,127.4,127.5,127.3,127.9,127.9,128.1,128.4,128.2,128.2,128.5,,,,,,,,,,,,,,,,
M,PRC_PRR_DOM,C10,NSA,I21,EA20,127.9,128.6,129.5,129.8,129.3,128.8,128.5,128.2,127.9,127.5,127.4,127.6,127.7,127.5,128.0,128.1,128.2,128.5,128.4,128.3,128.7,129.0,129.1,129.2,129.3,129.3,129.9,130.5,130.8,130.7,130.5,130.6,130.6,130.0,129.4,129.0,
M,PRC_PRR_DOM,C10,NSA,I21,EA21,128.0,128.6,129.6,129.8,129.4,128.9,128.5,128.3,127.9,127.6,127.4,127.6,127.8,127.5,128.1,128.1,128.3,128.6,128.4,128.3,128.7,129.0,129.2,129.3,129.5,129.4,130.2,130.8,131.1,131.0,130.8,130.8,130.8,130.2,129.7,129.3,
M,PRC_PRR_DOM,C10,NSA,I21,EL,115.6,116.0,115.9,116.7,116.4,116.5,116.6,117.1,117.1,116.8,116.8,117.1,117.3,117.2,117.3,117.5,117.4,117.2,117.3,117.3,117.9,117.8,117.8,118.4,118.7,118.8,119.1,119.4,120.1,120.3,120.5,120.9,121.0,121.1,121.3,121.7,
M,PRC_PRR_DOM,C10,NSA,I21,ES,127.7,128.5,129.6,129.4,129.4,129.4,129.9,130.9,131.3,131.3,131.4,131.8,132.8,132.2,132.1,131.2,131.7,132.0,131.4,130.8,130.9,131.1,129.6,128.2,128.5,128.4,128.4,128.3,128.1,127.7,127.5,127.7,128.3,128.6,128.7,128.4,
M,PRC_PRR_DOM,C10,NSA,I21,EU27_2020,129.2,129.8,130.8,130.9,130.4,129.9,129.3,129.0,128.6,128.3,128.1,128.2,128.2,127.9,128.5,128.5,128.7,129.0,128.9,128.8,129.2,129.5,129.8,129.9,130.1,130.1,130.9,131.5,131.8,131.8,131.5,131.6,131.5,130.9,130.3,129.9,
M,PRC_PRR_DOM,C10,NSA,I21,FI,125.1,125.7,128.2,128.2,128.1,127.8,127.4,126.3,125.4,125.3,125.7,126.1,126.9,126.5,126.2,125.7,125.7,125.7,126.0,125.8,126.0,125.3,125.8,125.8,126.1,126.4,127.6,128.2,129.6,130.2,130.3,130.6,131.5,132.0,132.2,132.5,
M,PRC_PRR_DOM,C10,NSA,I21,FR,127.0,128.2,130.8,131.8,131.3,130.5,129.9,128.8,128.1,127.4,126.8,127.0,126.6,126.3,126.6,126.5,126.9,126.7,127.1,127.3,127.3,127.4,127.3,127.5,128.7,129.3,130.2,130.7,131.0,131.2,131.0,130.9,130.8,130.9,130.6,130.7,
M,PRC_PRR_DOM,C10,NSA,I21,HR,120.5,120.0,121.0,121.0,122.1,122.9,122.4,122.9,121.9,121.8,121.4,121.0,122.2,121.6,122.4,122.7,122.5,123.9,123.6,124.0,123.2,124.9,125.4,125.4,126.2,126.5,125.8,125.7,125.9,126.2,125.8,126.1,125.1,126.1,125.6,125.4,
M,PRC_PRR_DOM,C10,NSA,I21,HU,167.2,167.2,167.0,165.1,163.3,160.3,157.7,156.0,154.2,152.4,151.8,152.3,151.6,151.5,152.0,151.4,151.3,152.9,153.2,153.0,153.8,155.0,156.2,158.5,160.4,160.4,161.2,162.8,163.4,163.9,164.0,164.2,163.7,163.8,162.1,161.3,
