freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01_value,2023-01_flag,2023-02_value,2023-02_flag,2023-03_value,2023-03_flag,2023-04_value,2023-04_flag,2023-05_value,2023-05_flag,2023-06_value,2023-06_flag,2023-07_value,2023-07_flag,2023-08_value,2023-08_flag,2023-09_value,2023-09_flag,2023-10_value,2023-10_flag,2023-11_value,2023-11_flag,2023-12_value,2023-12_flag,2024-01_value,2024-01_flag,2024-02_value,2024-02_flag,2024-03_value,2024-03_flag,2024-04_value,2024-04_flag,2024-05_value,2024-05_flag,2024-06_value,2024-06_flag,2024-07_value,2024-07_flag,2024-08_value,2024-08_flag,2024-09_value,2024-09_flag,2024-10_value,2024-10_flag,2024-11_value,2024-11_flag,2024-12_value,2024-12_flag,2025-01_value,2025-01_flag,2025-02_value,2025-02_flag,2025-03_value,2025-03_flag,2025-04_value,2025-04_flag,2025-05_value,2025-05_flag,2025-06_value,2025-06_flag,2025-07_value,2025-07_flag,2025-08_value,2025-08_flag,2025-09_value,2025-09_flag,2025-10_value,2025-10_flag,2025-11_value,2025-11_flag,2025-12_value,2025-12_flag
M,PRC_PRR_DOM,C1712,NSA,I15,DE,165.8,,161.3,,156.3,,152.3,,148.5,,145.5,,142.5,,139.8,,138.5,,136.0,,134.7,,133.1,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR_DOM,C1712,NSA,I15,EA19,159.6,,155.8,,151.7,,146.0,,143.8,,142.7,,138.6,,137.4,,136.6,,133.5,,132.6,,131.2,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR_DOM,C1712,NSA,I15,EA20,159.6,,155.8,,151.7,,146.0,,143.8,,142.7,,138.6,,137.4,,136.6,,133.5,,132.6,,131.2,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR_DOM,C1712,NSA,I15,ES,164.9,,157.5,,154.1,,150.9,,148.2,,148.2,,146.0,,143.3,,143.1,,142.8,,141.7,p,141.2,p,142.3,p,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR_DOM,C1712,NSA,I15,EU27_2020,160.2,,156.7,,152.5,,147.0,,144.7,,143.8,,140.0,,138.8,,138.1,,135.1,,134.0,,132.8,i,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR_DOM,C1712,NSA,I15,FI,158.2,,157.7,,156.3,,147.4,,147.1,,147.7,,141.1,,141.6,,142.0,,138.4,,137.5,,135.9,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR_DOM,C1712,NSA,I15,FR,153.8,,149.5,,143.8,,136.2,,134.6,,133.2,,129.8,,128.2,,126.6,,123.7,p,122.2,p,121.7,p,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR_DOM,C1712,NSA,I15,IT,147.1,,140.4,,133.4,,130.5,,128.0,,127.6,,124.9,,125.0,,122.7,,117.3,,118.4,,116.4,p,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR_DOM,C1712,NSA,I15,RO,135.8,,129.3,,120.4,,117.8,,114.3,,113.8,,113.2,,109.1,,107.9,,108.1,,105.4,p,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR_DOM,C1712,NSA,I15,SE,168.5,,168.1,,163.3,,158.6,,156.3,,157.5,,156.2,,155.3,,156.8,,153.8,,150.3,,151.8,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
