freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
M,PRC_PRR_DOM,C1729,NSA,I21,DE,128.3,130.3,130.2,128.9,127.8,127.3,128.4,128.2,128.0,127.6,126.4,125.9,125.4,126.5,126.5,125.3,124.7,126.0,126.4,126.7,126.7,126.8,127.4,127.4,127.9,128.6,128.5,129.0,128.7,128.0,128.3,128.0,127.7,127.2,126.6,126.7
M,PRC_PRR_DOM,C1729,NSA,I21,EA19,127.4,127.9,127.8,126.7,125.8,125.5,125.4,125.0,125.0,124.6,123.7,123.3,123.1,122.5,122.6,122.0,121.9,122.2,122.4,122.6,122.8,,,,,,,,,,,,,,,
M,PRC_PRR_DOM,C1729,NSA,I21,EA20,127.4,127.9,127.8,126.7,125.8,125.5,125.4,125.0,125.0,124.6,123.7,123.3,123.1,122.5,122.6,122.0,121.9,122.2,122.5,122.7,122.8,122.5,122.9,122.9,122.8,122.9,122.9,122.7,123.0,122.7,122.2,121.9,121.8,122.2,121.7,121.3
M,PRC_PRR_DOM,C1729,NSA,I21,EA21,127.4,127.9,127.8,126.7,125.8,125.5,125.4,125.0,125.0,124.6,123.7,123.3,123.1,122.5,122.6,122.0,121.9,122.2,122.5,122.7,122.8,122.5,122.9,122.9,122.8,122.9,122.9,122.7,123.0,122.7,122.2,121.9,121.8,122.2,121.7,121.3
M,PRC_PRR_DOM,C1729,NSA,I21,ES,114.8,114.9,114.9,114.7,114.5,115.8,115.5,115.4,115.5,115.5,114.9,113.4,114.0,113.6,112.5,112.8,112.8,113.0,113.1,113.2,113.2,113.0,112.8,113.0,114.2,113.9,114.0,114.3,114.6,114.4,113.9,113.8,113.3,113.3,113.4,113.4
M,PRC_PRR_DOM,C1729,NSA,I21,EU27_2020,128.1,128.5,128.3,127.4,126.5,126.2,126.1,125.6,125.5,124.9,124.1,123.8,123.6,123.1,123.1,122.6,122.7,123.0,123.2,123.5,123.5,123.3,123.6,123.7,123.6,123.7,123.6,123.4,123.8,123.5,123.1,122.8,122.7,123.0,122.6,122.2
M,PRC_PRR_DOM,C1729,NSA,I21,FI,125.1,124.0,125.8,123.8,122.5,120.9,121.6,120.8,118.6,118.1,118.0,117.6,117.8,117.2,116.7,117.7,116.6,116.9,117.5,117.8,117.8,117.8,117.5,118.0,117.6,118.1,117.5,118.2,118.4,118.7,119.1,119.8,119.0,118.3,119.0,118.1
M,PRC_PRR_DOM,C1729,NSA,I21,FR,135.4,135.8,135.6,135.4,134.3,134.1,133.4,132.5,132.6,131.8,131.3,131.1,130.6,128.1,127.5,127.0,126.5,127.0,127.0,128.3,128.1,128.2,129.0,128.2,128.5,127.5,127.9,126.3,127.7,126.7,125.3,125.8,125.9,127.3,127.5,126.3
M,PRC_PRR_DOM,C1729,NSA,I21,IT,127.0,127.0,126.5,125.4,124.2,123.6,123.2,122.7,123.3,123.9,122.4,121.7,123.5,121.6,122.7,121.8,123.1,121.6,121.6,120.2,120.7,119.6,119.8,121.5,121.7,121.1,121.3,121.9,121.4,121.5,121.1,120.2,119.7,121.4,118.9,118.0
M,PRC_PRR_DOM,C1729,NSA,I21,NL,125.1,123.9,123.9,121.2,121.5,120.8,119.1,118.9,118.7,117.3,117.0,117.3,115.5,115.4,116.2,116.3,116.5,116.7,117.7,118.0,118.0,117.6,117.6,116.5,113.0,115.1,114.1,112.7,114.1,114.8,113.9,112.8,113.8,113.4,114.2,114.2
M,PRC_PRR_DOM,C1729,NSA,I21,RO,126.9,127.1,127.6,126.8,125.1,125.5,126.1,126.9,127.6,126.1,126.4,,,,,,,,,,,,,,,,,,,,,,,,,
M,PRC_PRR_DOM,C1729,NSA,I21,SE,157.9,152.2,151.7,156.0,153.8,153.5,151.7,147.6,142.6,137.6,137.8,143.1,141.1,142.1,141.7,143.1,150.5,149.0,148.3,150.5,148.9,148.9,149.4,150.6,150.0,148.9,148.0,147.6,147.3,148.0,149.7,150.1,149.0,148.8,148.3,147.3
M,PRC_PRR_DOM,C1729,NSA,I21,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
