freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
M,PRC_PRR_NDOM,C17,NSA,I21,AT,126.1,125.1,124.4,122.5,120.9,118.3,116.1,115.7,115.8,115.0,114.0,113.0,112.9,113.4,113.8,115.2,115.7,115.9,119.4,117.1,117.3,116.8,116.7,117.1,116.8,116.8,116.4,116.1,116.3,115.6,115.1,114.5,114.4,113.8,113.9,112.5
M,PRC_PRR_NDOM,C17,NSA,I21,BE,140.1,138.1,136.5,135.1,135.1,131.2,129.3,128.1,127.7,124.8,123.8,123.2,122.9,122.3,121.9,121.9,123.1,123.6,123.5,123.3,125.3,123.8,123.0,122.0,121.8,122.3,121.8,122.7,121.8,121.2,121.9,121.2,121.5,121.5,121.1,120.6
M,PRC_PRR_NDOM,C17,NSA,I21,BG,136.7,133.7,136.0,135.0,135.1,134.1,134.4,133.0,124.6,114.3,117.9,116.6,116.0,115.9,117.0,118.1,120.8,122.1,125.2,125.0,110.9,125.7,124.7,124.8,126.4,132.7,132.6,133.2,133.7,133.5,133.0,132.9,132.7,132.7,132.6,132.7
M,PRC_PRR_NDOM,C17,NSA,I21,CH,116.4,125.1,125.1,125.1,120.4,120.4,120.4,114.4,114.4,114.4,111.5,111.5,111.5,105.7,105.7,105.7,108.6,108.6,108.6,108.4,108.4,108.4,107.6,107.6,107.6,107.0,107.0,107.0,106.0,106.0,106.0,105.7,105.7,105.7,105.1,105.1
M,PRC_PRR_NDOM,C17,NSA,I21,CZ,124.8,121.8,120.3,115.1,114.7,114.4,113.8,114.2,114.5,114.5,113.6,113.1,112.9,115.6,115.9,116.6,115.1,114.5,118.6,118.0,117.7,119.0,118.9,118.4,118.9,119.9,118.5,117.5,117.2,115.9,113.3,112.6,111.1,110.3,110.4,109.1
M,PRC_PRR_NDOM,C17,NSA,I21,DE,130.9,129.0,127.0,124.6,123.4,122.4,120.5,119.7,119.0,118.3,117.9,117.5,116.5,116.4,116.3,117.3,117.4,118.6,119.8,120.1,120.3,120.3,120.0,119.4,118.9,119.2,120.0,120.4,120.7,120.7,120.0,119.3,118.5,118.5,117.7,118.1
M,PRC_PRR_NDOM,C17,NSA,I21,DK,116.4,116.5,116.5,113.6,112.4,111.8,109.2,108.6,108.3,108.7,106.9,105.5,106.2,112.3,112.5,112.1,111.1,110.6,111.8,111.9,111.6,112.7,114.6,113.5,113.8,115.7,116.3,116.2,117.3,116.6,117.7,116.9,117.2,116.2,117.2,115.2
M,PRC_PRR_NDOM,C17,NSA,I21,EA19,132.6,130.7,128.1,125.6,123.6,121.7,119.0,117.9,117.1,116.2,116.0,115.8,115.3,115.1,115.7,116.6,117.6,118.7,120.2,120.4,,,,,,,,,,,,,,,,
M,PRC_PRR_NDOM,C17,NSA,I21,EA20,132.6,130.7,128.2,125.7,123.6,121.7,119.1,118.0,117.1,116.2,116.0,115.8,115.3,115.1,115.7,116.6,117.6,118.7,120.1,120.5,119.7,119.7,119.2,118.8,118.7,118.6,118.6,118.5,118.7,118.2,117.4,116.2,115.6,115.1,114.7,114.3
M,PRC_PRR_NDOM,C17,NSA,I21,EA21,132.6,130.8,128.2,125.7,123.7,121.8,119.1,118.0,117.2,116.2,116.1,115.8,115.3,115.1,115.7,116.6,117.7,118.7,120.1,120.5,119.6,119.7,119.2,118.9,118.7,118.6,118.7,118.6,118.8,118.3,117.5,116.2,115.7,115.2,114.8,114.4
M,PRC_PRR_NDOM,C17,NSA,I21,EL,133.9,135.2,136.0,134.9,135.4,131.4,125.2,124.7,124.3,122.5,123.5,122.9,122.6,120.9,121.1,119.1,119.1,120.8,120.1,123.2,121.5,120.4,117.2,118.5,118.5,118.1,118.5,116.7,115.8,117.1,116.0,115.9,118.8,115.8,116.1,115.9
M,PRC_PRR_NDOM,C17,NSA,I21,ES,136.7,134.1,132.7,131.7,129.4,126.7,124.1,122.4,121.7,120.5,119.8,120.3,120.1,120.5,121.6,123.6,125.1,126.9,127.4,128.1,125.6,126.3,124.8,124.4,122.9,121.9,123.2,123.1,123.9,123.7,121.7,120.2,120.0,119.5,119.1,120.4
