freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01
M,PRC_PRR_NDOM,C171,NSA,I21,DE,135.0,132.0,129.5,125.5,123.9,122.8,120.1,119.1,118.2,116.7,116.2,115.9,114.4,114.3,114.7,116.0,116.7,118.3,119.7,120.0,120.1,120.0,119.1,118.6,117.8,118.3,119.5,119.8,120.1,120.2,118.8,117.7,116.4,116.1,115.4,115.8,
M,PRC_PRR_NDOM,C171,NSA,I21,EA19,136.5,134.0,130.3,126.4,123.4,121.0,117.7,116.1,114.8,113.7,113.6,113.6,113.0,113.1,114.3,115.5,117.2,118.9,120.6,121.4,,,,,,,,,,,,,,,,,
M,PRC_PRR_NDOM,C171,NSA,I21,EA20,136.5,134.0,130.3,126.4,123.4,120.9,117.7,116.1,114.8,113.7,113.6,113.6,113.0,113.0,114.3,115.5,117.2,118.9,120.5,121.4,119.4,119.2,118.5,117.9,117.7,117.6,117.7,117.3,117.4,116.7,115.4,113.4,112.2,111.8,111.4,111.0,
M,PRC_PRR_NDOM,C171,NSA,I21,EA21,136.5,134.0,130.3,126.4,123.4,120.9,117.7,116.1,114.8,113.7,113.6,113.6,113.0,113.0,114.3,115.5,117.2,118.9,120.5,121.4,119.4,119.2,118.5,117.9,117.7,117.6,117.7,117.3,117.4,116.7,115.4,113.4,112.2,111.8,111.4,111.0,
M,PRC_PRR_NDOM,C171,NSA,I21,EL,159.9,160.6,160.2,160.6,160.9,158.9,144.2,141.6,141.3,140.1,140.5,138.7,137.3,137.1,137.0,138.5,136.7,137.2,137.6,137.7,137.2,136.7,133.5,133.5,133.5,133.5,133.2,133.6,133.6,132.3,132.9,132.8,133.6,131.4,131.7,131.7,
M,PRC_PRR_NDOM,C171,NSA,I21,ES,139.6,136.0,134.4,133.2,130.2,126.3,123.1,121.0,119.6,118.3,117.9,118.4,118.6,119.5,121.5,124.5,127.1,130.3,131.1,131.8,127.6,128.2,126.2,124.8,122.5,120.5,122.9,123.1,124.2,124.0,121.2,118.8,118.3,117.3,116.6,118.6,
M,PRC_PRR_NDOM,C171,NSA,I21,EU27_2020,140.0,137.1,133.8,130.1,127.3,125.5,122.7,120.4,120.1,118.8,117.0,116.7,115.4,116.1,117.2,119.0,121.7,122.8,124.2,125.5,123.2,123.2,122.9,122.4,121.9,121.3,120.8,120.3,120.3,119.7,118.9,117.1,115.4,114.8,114.5,113.6,
M,PRC_PRR_NDOM,C171,NSA,I21,FI,133.5,132.2,127.9,124.2,121.8,118.4,114.7,112.5,111.2,111.5,110.8,110.1,111.4,110.8,111.6,113.4,116.5,118.1,118.2,120.3,118.5,118.5,119.8,119.9,120.1,120.0,117.9,117.4,116.4,114.8,113.5,111.6,111.0,110.8,110.6,108.7,
M,PRC_PRR_NDOM,C171,NSA,I21,FR,140.0,138.5,134.9,130.9,128.6,126.0,121.5,119.7,118.8,116.9,115.9,114.3,113.1,113.2,113.9,115.5,117.4,118.8,120.7,122.4,123.2,121.4,122.2,121.3,119.9,119.3,118.6,116.8,117.4,117.4,116.8,115.1,115.3,113.3,113.2,112.2,
M,PRC_PRR_NDOM,C171,NSA,I21,HU,162.2,142.2,131.1,120.1,111.8,109.2,109.4,108.3,114.6,109.2,106.7,106.1,105.0,106.9,107.2,106.5,119.6,124.3,125.9,126.7,133.3,137.2,138.1,130.8,125.3,121.4,133.6,132.6,131.6,133.3,131.5,124.5,116.9,114.7,111.0,111.5,
M,PRC_PRR_NDOM,C171,NSA,I21,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,PRC_PRR_NDOM,C171,NSA,I21,IT,136.9,133.0,128.1,124.0,122.6,121.0,120.3,120.2,116.6,116.2,113.4,112.3,114.7,116.5,115.8,111.3,113.9,116.0,118.4,117.4,116.3,118.1,116.9,118.4,119.4,119.2,118.8,120.2,120.1,117.7,116.6,118.6,112.5,113.6,111.2,109.6,
