freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01_value,2023-01_flag,2023-02_value,2023-02_flag,2023-03_value,2023-03_flag,2023-04_value,2023-04_flag,2023-05_value,2023-05_flag,2023-06_value,2023-06_flag,2023-07_value,2023-07_flag,2023-08_value,2023-08_flag,2023-09_value,2023-09_flag,2023-10_value,2023-10_flag,2023-11_value,2023-11_flag,2023-12_value,2023-12_flag,2024-01_value,2024-01_flag,2024-02_value,2024-02_flag,2024-03_value,2024-03_flag,2024-04_value,2024-04_flag,2024-05_value,2024-05_flag,2024-06_value,2024-06_flag,2024-07_value,2024-07_flag,2024-08_value,2024-08_flag,2024-09_value,2024-09_flag,2024-10_value,2024-10_flag,2024-11_value,2024-11_flag,2024-12_value,2024-12_flag,2025-01_value,2025-01_flag,2025-02_value,2025-02_flag,2025-03_value,2025-03_flag,2025-04_value,2025-04_flag,2025-05_value,2025-05_flag,2025-06_value,2025-06_flag,2025-07_value,2025-07_flag,2025-08_value,2025-08_flag,2025-09_value,2025-09_flag,2025-10_value,2025-10_flag,2025-11_value,2025-11_flag,2025-12_value,2025-12_flag
M,PRC_PRR_NDOM,C22,NSA,I15,AT,116.0,,116.5,,116.0,,115.6,,115.5,,115.0,,114.8,,114.7,,114.7,,115.2,,114.7,,114.4,p,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR_NDOM,C22,NSA,I15,BE,136.8,,136.4,,135.1,,135.9,,135.5,,135.2,,134.8,,133.4,,133.9,,134.9,,133.9,,134.6,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR_NDOM,C22,NSA,I15,BG,144.8,,146.3,,146.9,,149.9,,151.9,,149.7,,151.6,,150.3,,156.1,,159.6,,165.3,,167.5,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR_NDOM,C22,NSA,I15,CH,111.1,,112.1,,112.1,,112.1,,110.8,,110.8,,110.8,,108.9,,108.9,,108.9,,109.0,,109.0,,109.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR_NDOM,C22,NSA,I15,CZ,110.2,,108.9,,109.0,,108.3,,108.9,,110.0,,109.5,,110.1,,110.8,,111.0,,110.8,,110.9,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR_NDOM,C22,NSA,I15,DE,123.4,,123.1,,123.1,,122.7,,122.4,,122.0,,121.3,,120.9,,120.7,,120.3,,120.4,,120.2,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR_NDOM,C22,NSA,I15,DK,127.2,,127.0,,127.0,,126.3,,125.2,,125.4,,123.6,,122.4,,122.2,,121.6,,120.8,,121.0,,119.1,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR_NDOM,C22,NSA,I15,EA19,122.8,,122.8,,122.7,,122.2,,122.0,,121.6,,121.2,,120.9,,120.7,,120.3,,120.3,,120.1,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR_NDOM,C22,NSA,I15,EA20,122.7,,122.7,,122.6,,122.1,,121.9,,121.5,,121.1,,120.8,,120.6,,120.2,,120.2,,120.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR_NDOM,C22,NSA,I15,EL,141.1,,138.6,,136.3,,134.6,,134.7,,134.8,,134.7,,132.8,,131.2,,128.4,,127.6,,125.7,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRC_PRR_NDOM,C22,NSA,I15,ES,123.0,,126.8,,126.9,,128.0,,127.5,,128.0,,128.3,,128.1,,128.1,,127.6,p,127.4,p,126.6,p,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
