freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
M,PRD,C204,SCA,I21,DE,89.2,87.9,87.4,86.1,85.5,83.9,85.8,82.5,85.4,85.7,87.3,81.2,85.2,87.8,88.9,89.4,86.9,89.7,87.3,88.3,83.6,88.5,86.7,87.7,86.5,87.7,87.9,87.3,88.6,88.0,88.6,85.6,84.3,84.9,84.8,88.9
M,PRD,C204,SCA,I21,EA19,102.6,101.8,107.2,102.2,102.8,102.2,104.2,101.6,102.7,104.1,104.3,102.2,101.2,102.9,103.2,104.0,101.3,102.9,99.6,99.3,,,,,,,,,,,,,,,,
M,PRD,C204,SCA,I21,EA20,102.4,101.2,105.1,101.5,102.4,102.3,103.4,100.7,101.9,103.1,103.6,102.3,101.2,102.9,101.4,103.1,101.7,103.3,99.0,98.4,98.8,99.9,99.2,97.7,99.1,100.0,100.3,102.2,99.1,98.1,101.4,100.2,100.3,101.0,99.7,99.5
M,PRD,C204,SCA,I21,EA21,102.4,101.2,105.1,101.5,102.4,102.3,103.4,100.7,101.9,103.1,103.6,102.3,101.2,102.9,101.4,103.1,101.7,103.3,99.0,98.4,98.8,99.9,99.2,97.7,99.1,100.0,100.3,102.2,99.1,98.1,101.4,100.2,100.3,101.0,99.7,99.5
M,PRD,C204,SCA,I21,EL,96.5,91.9,103.0,86.7,102.5,92.3,95.8,91.1,96.3,103.2,93.8,105.7,103.1,98.8,100.5,101.8,96.5,101.7,102.9,96.0,103.8,102.9,76.9,79.5,94.9,100.7,104.0,107.5,95.6,111.3,101.2,107.5,102.2,96.9,100.4,99.1
M,PRD,C204,SCA,I21,ES,108.2,108.3,120.1,110.1,111.1,112.8,114.3,113.7,114.4,114.9,118.1,113.4,117.1,118.3,118.3,119.9,118.6,117.6,113.3,114.3,116.8,119.3,116.0,116.9,117.4,117.1,115.9,116.5,117.5,119.2,121.7,118.3,119.1,121.3,122.0,121.2
M,PRD,C204,SCA,I21,EU27_2020,104.1,102.7,105.9,102.8,104.1,104.1,105.5,102.8,103.9,105.2,105.2,103.5,103.5,105.0,103.4,105.2,103.7,105.4,100.9,100.4,100.6,101.7,101.4,99.5,101.3,101.9,102.8,104.4,101.4,100.2,103.2,102.2,102.2,102.8,101.3,101.2
M,PRD,C204,SCA,I21,FR,110.7,110.8,113.0,112.7,112.8,114.9,116.6,111.5,112.8,112.4,113.5,115.0,108.9,109.6,104.6,109.0,107.8,110.2,102.7,101.5,102.8,99.8,101.4,100.0,99.7,102.2,102.9,108.3,100.2,95.0,103.7,104.9,103.6,105.2,102.8,100.0
M,PRD,C204,SCA,I21,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,PRD,C204,SCA,I21,IT,103.6,100.4,106.2,98.6,102.0,98.7,97.2,98.3,97.5,100.9,98.1,103.4,99.7,103.1,101.2,99.9,100.2,99.5,97.9,96.4,99.5,102.5,103.4,96.8,105.7,104.1,101.6,104.5,100.9,102.5,102.7,100.6,104.1,101.9,99.6,99.4
M,PRD,C204,SCA,I21,LT,91.1,102.4,127.6,121.3,145.5,97.3,124.0,128.2,123.2,142.2,153.0,131.5,90.1,120.9,124.7,124.7,127.8,104.2,100.2,127.5,119.8,131.5,147.9,145.3,89.4,87.5,100.8,105.7,110.6,85.3,108.1,102.5,98.6,105.9,124.2,111.1
M,PRD,C204,SCA,I21,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,PRD,C204,SCA,I21,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,PRD,C204,SCA,I21,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,PRD,C204,SCA,I21,RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,PRD,C204,SCA,I21,TR,112.7,104.2,103.0,107.2,106.5,108.4,108.3,114.3,111.7,108.0,107.8,107.2,110.0,114.5,116.9,109.9,108.9,102.4,113.1,105.8,107.2,111.2,113.4,115.0,112.8,118.2,115.3,116.4,123.9,112.9,112.5,111.8,110.1,108.7,120.1,120.5
