freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01_value,2023-01_flag,2023-02_value,2023-02_flag,2023-03_value,2023-03_flag,2023-04_value,2023-04_flag,2023-05_value,2023-05_flag,2023-06_value,2023-06_flag,2023-07_value,2023-07_flag,2023-08_value,2023-08_flag,2023-09_value,2023-09_flag,2023-10_value,2023-10_flag,2023-11_value,2023-11_flag,2023-12_value,2023-12_flag,2024-01_value,2024-01_flag,2024-02_value,2024-02_flag,2024-03_value,2024-03_flag,2024-04_value,2024-04_flag,2024-05_value,2024-05_flag,2024-06_value,2024-06_flag,2024-07_value,2024-07_flag,2024-08_value,2024-08_flag,2024-09_value,2024-09_flag,2024-10_value,2024-10_flag,2024-11_value,2024-11_flag,2024-12_value,2024-12_flag,2025-01_value,2025-01_flag,2025-02_value,2025-02_flag,2025-03_value,2025-03_flag,2025-04_value,2025-04_flag,2025-05_value,2025-05_flag,2025-06_value,2025-06_flag,2025-07_value,2025-07_flag,2025-08_value,2025-08_flag,2025-09_value,2025-09_flag,2025-10_value,2025-10_flag,2025-11_value,2025-11_flag,2025-12_value,2025-12_flag
M,PRD,C222,SCA,I21,DE,94.2,,94.4,,92.3,,90.9,,91.2,,90.1,,90.5,,90.0,,89.4,,89.5,,89.3,,86.5,,88.1,,89.7,,89.1,,89.4,,87.3,,88.3,,86.6,,87.4,,86.7,,85.9,,86.5,,85.8,,86.3,,86.6,,88.1,,87.3,,86.5,,86.4,,87.2,,87.8,,85.4,,86.8,,86.3,,86.3,
M,PRD,C222,SCA,I21,EA19,96.0,,95.9,,95.2,,93.4,,94.3,,94.2,,93.3,,92.9,,92.4,,92.3,,91.9,,91.3,,91.3,,93.0,,92.3,,93.0,,91.4,,92.1,,91.3,,92.0,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRD,C222,SCA,I21,EA20,96.0,,95.9,,95.2,,93.1,,94.3,,94.0,,93.1,,92.8,,92.3,,92.4,,92.0,,91.6,,91.7,,93.6,,92.4,,93.1,,91.4,,91.9,,91.3,,91.4,,91.3,,90.5,,90.6,,89.9,,91.3,,90.9,,91.5,,91.6,,91.3,,91.5,,92.1,,92.3,,90.3,,91.9,,91.7,,,:
M,PRD,C222,SCA,I21,EA21,96.0,,95.9,,95.2,,93.1,,94.3,,94.0,,93.1,,92.8,,92.3,,92.4,,92.0,,91.6,,91.7,,93.6,,92.4,,93.1,,91.4,,91.9,,91.3,,91.4,,91.3,,90.5,,90.6,,89.9,,91.3,,90.9,,91.5,,91.6,,91.3,,91.5,,92.1,,92.3,,90.3,,91.9,,91.7,,,:
M,PRD,C222,SCA,I21,EL,97.7,p,98.3,p,100.7,p,102.3,p,104.3,p,104.4,p,95.0,p,100.0,p,96.2,p,102.4,p,102.2,p,109.2,p,101.5,p,101.7,p,101.2,p,102.2,p,99.2,p,100.5,p,106.8,p,101.1,p,105.7,p,105.5,p,103.3,p,108.7,p,105.8,p,103.5,p,106.7,p,105.8,p,104.4,p,107.7,p,108.4,p,102.6,p,107.3,p,104.8,p,105.9,p,105.2,p
M,PRD,C222,SCA,I21,ES,98.4,p,97.7,p,99.9,p,98.1,p,98.5,p,100.1,p,97.6,p,98.2,p,98.2,p,98.7,p,98.4,p,98.6,p,102.7,p,104.7,p,103.2,p,100.8,p,99.7,p,100.4,p,98.6,p,99.4,p,101.5,p,101.2,p,97.5,p,99.3,p,98.3,p,97.8,p,99.1,p,100.1,p,99.6,p,101.0,p,101.0,p,100.2,p,100.6,p,99.4,p,99.6,p,99.2,p
M,PRD,C222,SCA,I21,EU27_2020,97.1,,96.7,,96.0,,94.1,,95.5,,95.3,,94.5,,94.2,,94.3,,94.4,,93.9,,93.9,,93.7,,95.7,,94.4,,95.2,,93.4,,94.2,,93.5,,93.6,,93.5,,92.9,,93.3,,92.6,,94.0,,93.7,,93.7,,94.0,,93.6,,93.8,,94.5,,94.5,,92.9,,94.2,,93.9,,,:
M,PRD,C222,SCA,I21,FR,96.5,,95.6,,96.1,,94.0,,96.1,,93.6,,94.3,,94.6,,92.3,,92.1,,90.6,,94.4,,92.0,,93.5,,93.8,,94.7,,91.6,,90.2,,91.9,,94.4,,92.2,,90.0,,92.0,,92.1,,91.0,,91.3,,91.5,,90.8,,90.2,,91.6,,92.2,,92.6,,89.7,,90.3,,89.7,,91.1,
M,PRD,C222,SCA,I21,IE,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C
M,PRD,C222,SCA,I21,IT,98.0,,97.7,,96.9,,95.6,,97.9,,100.3,,94.8,,95.2,,95.7,,95.1,,93.0,,95.9,,94.1,,95.3,,92.3,,95.2,,95.3,,95.0,,94.6,,91.6,,93.4,,91.9,,91.9,,89.1,,94.2,,92.0,,91.8,,91.8,,91.3,,92.7,,92.9,,94.2,,92.0,,93.5,,94.2,,94.0,
M,PRD,C222,SCA,I21,LT,100.5,,100.6,,94.0,,89.7,,93.0,,93.6,,95.4,,89.4,,93.9,,95.9,,91.9,,97.5,,97.2,,102.5,,107.6,,107.0,,111.0,,112.0,,109.4,,110.9,,110.0,,107.1,,108.6,,106.2,,109.3,,108.0,,106.2,,108.0,,105.6,,105.1,,105.6,,108.3,,107.0,,108.6,,110.2,,110.5,
M,PRD,C222,SCA,I21,NL,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C
M,PRD,C222,SCA,I21,PL,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C
M,PRD,C222,SCA,I21,PT,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C
