freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
M,NETTUR,C12,SCA,I21,BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,NETTUR,C12,SCA,I21,CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,NETTUR,C12,SCA,I21,DE,88.2,87.1,86.4,95.4,97.8,97.4,94.9,94.0,100.5,93.1,94.9,95.5,95.1,106.2,101.2,101.1,98.7,90.1,103.0,103.7,103.3,104.6,101.8,104.6,109.8,106.2,92.2,97.5,75.6,80.6,99.4,90.9,94.7,98.0,94.1,84.6
M,NETTUR,C12,SCA,I21,DK,125.5,106.2,128.8,112.6,133.3,140.0,149.9,156.3,186.6,188.9,168.6,245.2,262.3,251.1,243.4,234.0,203.7,167.3,186.3,184.4,183.3,158.9,183.2,174.4,171.2,205.6,181.5,222.1,192.1,202.7,219.6,159.1,180.9,220.6,217.7,216.9
M,NETTUR,C12,SCA,I21,EA19,93.8,94.2,95.0,99.0,103.2,103.4,101.3,100.2,105.2,99.1,99.4,101.8,102.6,106.7,105.9,107.7,106.0,97.6,109.7,109.4,,,,,,,,,,,,,,,,
M,NETTUR,C12,SCA,I21,EA20,92.6,94.3,95.0,98.7,103.3,104.0,101.6,100.4,104.5,98.1,99.8,101.4,100.9,107.4,105.8,107.9,106.4,97.4,110.2,109.4,110.3,111.6,108.6,111.5,116.6,113.5,101.6,107.2,87.9,92.5,108.6,100.5,104.3,107.6,104.6,
M,NETTUR,C12,SCA,I21,EA21,92.6,94.3,95.0,98.7,103.3,104.0,101.6,100.4,104.5,98.1,99.8,101.4,100.9,107.4,105.8,107.9,106.4,97.4,110.2,109.4,110.3,111.6,108.6,111.5,116.6,113.5,101.6,107.2,87.9,92.5,108.6,100.5,104.3,107.6,104.6,
M,NETTUR,C12,SCA,I21,EL,134.8,171.2,152.7,111.6,139.3,147.7,156.6,139.7,130.7,147.9,147.3,149.7,160.5,126.2,154.4,177.6,182.7,150.2,206.0,175.5,162.5,177.0,163.0,140.5,181.6,188.3,176.1,194.7,182.0,160.6,184.7,193.2,191.8,177.8,173.3,
M,NETTUR,C12,SCA,I21,ES,109.0,99.7,110.4,132.3,109.8,152.5,125.8,103.3,115.2,103.9,96.6,145.6,110.7,108.5,128.2,106.3,118.5,109.2,94.3,116.9,135.7,125.6,100.5,134.1,124.3,128.1,119.5,120.8,139.4,135.9,152.4,154.1,132.3,133.8,137.3,
M,NETTUR,C12,SCA,I21,EU27_2020,96.3,97.2,99.5,101.6,106.3,106.9,105.5,103.5,107.2,102.6,104.9,104.8,104.8,111.4,108.3,111.9,110.3,102.7,115.5,113.5,112.9,114.5,111.4,112.8,119.8,117.7,106.9,112.3,96.9,100.3,114.2,105.4,111.2,111.8,111.5,
