freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01_value,2023-01_flag,2023-02_value,2023-02_flag,2023-03_value,2023-03_flag,2023-04_value,2023-04_flag,2023-05_value,2023-05_flag,2023-06_value,2023-06_flag,2023-07_value,2023-07_flag,2023-08_value,2023-08_flag,2023-09_value,2023-09_flag,2023-10_value,2023-10_flag,2023-11_value,2023-11_flag,2023-12_value,2023-12_flag,2024-01_value,2024-01_flag,2024-02_value,2024-02_flag,2024-03_value,2024-03_flag,2024-04_value,2024-04_flag,2024-05_value,2024-05_flag,2024-06_value,2024-06_flag,2024-07_value,2024-07_flag,2024-08_value,2024-08_flag,2024-09_value,2024-09_flag,2024-10_value,2024-10_flag,2024-11_value,2024-11_flag,2024-12_value,2024-12_flag,2025-01_value,2025-01_flag,2025-02_value,2025-02_flag,2025-03_value,2025-03_flag,2025-04_value,2025-04_flag,2025-05_value,2025-05_flag,2025-06_value,2025-06_flag,2025-07_value,2025-07_flag,2025-08_value,2025-08_flag,2025-09_value,2025-09_flag,2025-10_value,2025-10_flag,2025-11_value,2025-11_flag,2025-12_value,2025-12_flag
M,NETTUR,C20,SCA,I21,AT,110.7,,109.1,,108.8,,103.6,,104.5,,100.5,,99.3,,102.6,,106.8,,105.2,,104.5,,105.2,,95.4,,99.6,,98.5,,99.1,,95.8,,99.1,,109.1,,101.0,,95.1,,100.1,,102.0,,103.8,,102.4,,105.9,,106.2,,102.4,,100.7,,106.0,,98.9,,101.2,,97.7,,97.9,,95.9,,93.7,p
M,NETTUR,C20,SCA,I21,BE,104.6,,109.2,,104.7,,105.8,,96.1,,92.7,,93.9,,92.0,,91.6,,92.5,,92.9,,92.0,,90.3,,93.8,,98.8,,98.9,,100.1,,95.7,,97.6,,97.4,,98.4,,97.0,,96.6,,95.4,,102.2,,101.0,,96.5,,95.4,,92.6,,93.7,,92.3,,92.1,,89.1,,85.3,,86.5,,,:
M,NETTUR,C20,SCA,I21,CZ,104.4,i,104.1,i,104.1,i,100.6,i,96.5,i,96.8,i,95.6,i,97.3,i,101.2,i,100.4,i,100.5,i,98.1,i,100.0,i,104.5,i,104.4,i,102.6,i,101.2,i,106.7,i,101.6,i,98.3,i,97.9,i,101.4,i,101.5,i,100.9,i,100.0,i,101.2,i,100.3,i,94.8,i,94.4,i,91.5,i,98.4,i,93.3,i,91.9,i,94.0,i,97.7,i,98.7,i
M,NETTUR,C20,SCA,I21,DE,105.7,,106.1,,103.3,,99.7,,98.8,,96.7,,94.7,,96.7,,97.4,,96.7,,97.3,,93.4,,94.3,,98.4,,98.3,,97.4,,97.0,,97.5,,97.0,,95.7,,94.5,,94.7,,94.8,,94.7,,96.1,,95.9,,99.0,,95.4,,91.5,,91.9,,91.8,,90.0,,90.1,,89.8,,88.4,,90.4,
M,NETTUR,C20,SCA,I21,DK,121.3,,121.3,,121.7,,116.1,,123.5,,117.0,,111.1,,112.9,,116.5,,118.5,,113.6,,115.0,,119.1,,115.3,,115.7,,120.9,,115.5,,119.4,,126.3,,122.8,,118.1,,119.5,,123.7,,124.2,,128.4,,129.5,,122.8,,126.1,,124.3,,127.6,,125.0,,126.0,,129.7,,124.4,,128.7,,128.1,
M,NETTUR,C20,SCA,I21,EA19,107.5,,106.7,,105.1,,101.0,,101.1,,101.1,,96.9,,98.1,,98.8,,98.7,,99.3,,96.9,,96.9,,100.6,,99.8,,99.4,,97.7,,99.4,,99.5,,98.4,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,NETTUR,C20,SCA,I21,EA20,107.1,,105.8,,104.2,,100.3,,101.1,,102.4,,96.2,,97.3,,98.4,,97.7,,97.0,,94.7,,95.5,,99.4,,99.1,,97.7,,96.1,,97.9,,98.0,,96.3,,95.5,,96.2,,98.0,,97.2,,97.3,,97.2,,97.4,,95.7,,93.4,,93.7,,93.6,,92.5,,92.1,,90.8,,91.2,,,:
M,NETTUR,C20,SCA,I21,EA21,107.1,,105.8,,104.2,,100.3,,101.1,,102.4,,96.2,,97.3,,98.4,,97.7,,97.0,,94.7,,95.5,,99.4,,99.1,,97.7,,96.1,,97.9,,98.0,,96.3,,95.5,,96.2,,98.0,,97.2,,97.3,,97.2,,97.4,,95.7,,93.4,,93.7,,93.6,,92.5,,92.1,,90.8,,91.2,,,:
M,NETTUR,C20,SCA,I21,EL,110.6,i,118.8,i,132.5,i,100.8,i,111.8,i,105.0,i,104.7,i,112.3,i,110.3,i,108.2,i,114.0,i,131.6,i,121.4,i,119.8,i,114.1,i,115.9,i,112.2,i,108.4,i,120.6,i,111.1,i,113.0,i,122.8,i,119.5,i,116.9,i,128.1,p,120.2,p,118.9,p,122.7,p,122.4,p,126.1,p,115.2,p,112.6,p,117.2,p,115.4,p,121.4,p,,:
M,NETTUR,C20,SCA,I21,ES,106.3,p,106.1,p,104.7,p,103.6,p,101.8,p,102.8,p,100.8,p,99.9,p,100.6,p,102.0,p,101.2,p,100.7,p,101.9,p,102.1,p,105.8,p,103.9,p,104.0,p,104.1,p,104.6,p,104.0,p,105.0,p,103.5,p,103.3,p,103.7,p,103.9,p,104.7,p,102.6,p,102.4,p,103.5,p,104.5,p,103.2,p,102.3,p,102.5,p,101.8,p,102.8,p,,:
M,NETTUR,C20,SCA,I21,EU27_2020,107.2,,106.0,,104.3,,100.6,,101.2,,102.4,,96.4,,97.9,,99.1,,98.3,,97.4,,95.1,,95.9,,99.8,,99.4,,98.3,,96.6,,98.5,,98.5,,96.7,,95.9,,96.7,,98.4,,97.6,,98.0,,97.8,,97.8,,96.2,,93.9,,94.1,,94.1,,93.0,,92.5,,91.5,,91.7,,,:
M,NETTUR,C20,SCA,I21,FI,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C
