freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
M,NETTUR_DOM,C10,SCA,I21,AT,129.8,132.4,128.4,126.7,127.3,131.3,127.4,129.9,128.6,130.8,131.5,130.1,129.0,130.2,128.5,130.4,131.4,125.4,130.5,131.8,131.0,131.1,132.6,134.8,138.4,133.9,133.7,136.9,133.7,135.2,136.8,134.3,136.9,134.3,133.5,136.5
M,NETTUR_DOM,C10,SCA,I21,BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,NETTUR_DOM,C10,SCA,I21,CZ,128.0,129.0,128.3,126.7,128.6,128.6,123.3,127.0,125.3,125.7,126.8,128.3,131.1,129.4,133.1,127.7,132.5,128.7,128.0,128.8,126.3,133.6,132.8,134.5,138.9,135.7,134.2,143.1,137.8,135.2,133.5,134.5,134.6,137.6,137.0,138.2
M,NETTUR_DOM,C10,SCA,I21,DE,126.1,130.1,129.2,127.5,131.7,129.0,125.5,127.3,125.1,124.3,125.4,123.2,126.3,127.1,125.3,125.1,127.5,124.8,127.8,126.1,126.6,129.5,128.9,130.0,134.5,130.4,127.5,138.4,130.8,135.0,134.6,134.1,133.9,133.2,131.1,132.0
M,NETTUR_DOM,C10,SCA,I21,DK,117.7,122.7,124.9,115.8,128.0,123.2,115.7,121.6,114.1,110.4,119.4,120.5,112.1,113.3,116.5,120.2,117.5,116.3,115.6,119.2,115.4,117.7,119.6,121.7,121.6,117.2,119.7,125.6,121.7,122.4,121.2,124.1,123.1,125.9,123.0,128.9
M,NETTUR_DOM,C10,SCA,I21,EA19,126.0,127.5,128.2,125.5,128.8,127.7,125.4,126.6,125.1,124.1,125.1,125.1,126.0,127.0,124.5,125.7,127.5,125.4,126.9,126.5,,,,,,,,,,,,,,,,
M,NETTUR_DOM,C10,SCA,I21,EA20,125.5,127.6,128.4,125.3,128.8,127.7,125.3,126.6,125.3,124.0,125.3,125.2,125.7,127.6,125.0,125.2,127.5,125.6,127.0,126.4,127.0,128.9,128.6,128.6,132.8,129.5,128.2,134.4,131.5,132.0,131.8,132.1,132.5,131.3,130.1,
M,NETTUR_DOM,C10,SCA,I21,EA21,125.5,127.6,128.4,125.3,128.8,127.7,125.3,126.6,125.3,124.0,125.3,125.2,125.7,127.6,125.0,125.2,127.5,125.6,127.0,126.4,127.0,128.9,128.6,128.6,132.8,129.5,128.2,134.4,131.5,132.0,131.8,132.1,132.5,131.3,130.1,
M,NETTUR_DOM,C10,SCA,I21,EL,125.1,126.5,124.7,121.5,128.7,127.4,124.0,129.7,127.5,131.5,126.8,132.1,128.8,126.8,129.3,126.3,135.0,129.7,132.6,129.0,131.6,129.4,132.8,138.0,133.2,131.1,127.0,137.8,131.7,138.0,135.5,134.8,134.5,133.2,132.0,
M,NETTUR_DOM,C10,SCA,I21,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
