freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01_value,2023-01_flag,2023-02_value,2023-02_flag,2023-03_value,2023-03_flag,2023-04_value,2023-04_flag,2023-05_value,2023-05_flag,2023-06_value,2023-06_flag,2023-07_value,2023-07_flag,2023-08_value,2023-08_flag,2023-09_value,2023-09_flag,2023-10_value,2023-10_flag,2023-11_value,2023-11_flag,2023-12_value,2023-12_flag,2024-01_value,2024-01_flag,2024-02_value,2024-02_flag,2024-03_value,2024-03_flag,2024-04_value,2024-04_flag,2024-05_value,2024-05_flag,2024-06_value,2024-06_flag,2024-07_value,2024-07_flag,2024-08_value,2024-08_flag,2024-09_value,2024-09_flag,2024-10_value,2024-10_flag,2024-11_value,2024-11_flag,2024-12_value,2024-12_flag,2025-01_value,2025-01_flag,2025-02_value,2025-02_flag,2025-03_value,2025-03_flag,2025-04_value,2025-04_flag,2025-05_value,2025-05_flag,2025-06_value,2025-06_flag,2025-07_value,2025-07_flag,2025-08_value,2025-08_flag,2025-09_value,2025-09_flag,2025-10_value,2025-10_flag,2025-11_value,2025-11_flag,2025-12_value,2025-12_flag
M,NETTUR_DOM,C22,SCA,I21,AT,111.5,,104.8,,101.7,,96.2,,95.3,,95.7,,94.0,,91.2,,93.5,,93.1,,91.0,,95.5,,84.2,,88.3,,90.4,,88.7,,82.8,,84.5,,87.0,,86.6,,85.9,,88.0,,87.0,,86.4,,92.3,,89.9,,84.9,,88.4,,86.7,,85.9,,85.8,,86.9,,88.2,,82.8,,83.7,,83.8,p
M,NETTUR_DOM,C22,SCA,I21,BE,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,:
M,NETTUR_DOM,C22,SCA,I21,CZ,112.3,i,113.5,i,109.7,i,110.1,i,102.1,i,106.7,i,97.8,i,111.5,i,104.4,i,107.9,i,113.2,i,112.1,i,114.6,i,115.2,i,118.8,i,112.1,i,114.6,i,110.6,i,108.8,i,115.5,i,114.3,i,114.7,i,108.4,i,118.8,i,110.3,i,112.7,i,116.1,i,114.8,i,118.2,i,111.0,i,118.6,i,106.9,i,113.4,i,110.4,i,111.5,i,107.4,i
M,NETTUR_DOM,C22,SCA,I21,DE,109.5,,110.2,,106.9,,105.3,,106.0,,103.4,,104.2,,102.8,,101.4,,103.6,,100.7,,97.5,,97.8,,100.3,,100.7,,100.1,,97.1,,99.0,,96.5,,98.0,,97.0,,96.6,,97.3,,96.0,,95.5,,94.9,,97.1,,97.0,,96.1,,95.8,,96.2,,97.3,,94.8,,96.5,,96.2,,95.4,
M,NETTUR_DOM,C22,SCA,I21,DK,100.2,,96.8,,94.8,,86.2,,91.0,,90.6,,94.8,,96.9,,93.2,,86.5,,93.0,,92.1,,85.4,,94.9,,92.5,,94.8,,91.7,,93.9,,91.8,,93.5,,93.6,,94.6,,95.8,,94.2,,95.5,,95.6,,90.5,,95.4,,91.3,,92.2,,90.3,,93.0,,95.4,,92.8,,92.1,,91.9,
M,NETTUR_DOM,C22,SCA,I21,EA19,110.6,,110.0,,108.8,,107.5,,108.0,,105.6,,105.3,,104.7,,103.9,,105.3,,104.3,,103.3,,102.0,,103.9,,103.0,,102.1,,100.3,,100.9,,100.2,,100.6,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,NETTUR_DOM,C22,SCA,I21,EA20,110.6,,110.0,,109.0,,107.3,,108.1,,105.8,,105.3,,104.6,,103.7,,104.9,,103.8,,103.9,,101.6,,103.6,,102.9,,102.1,,100.7,,100.9,,100.3,,100.3,,100.5,,100.3,,100.5,,99.1,,100.7,,100.1,,100.4,,100.6,,99.9,,100.3,,100.2,,100.5,,99.8,,100.4,,100.0,,,:
M,NETTUR_DOM,C22,SCA,I21,EA21,110.6,,110.0,,109.0,,107.3,,108.1,,105.8,,105.3,,104.6,,103.7,,104.9,,103.8,,103.9,,101.6,,103.6,,102.9,,102.1,,100.7,,100.9,,100.3,,100.3,,100.5,,100.3,,100.5,,99.1,,100.7,,100.1,,100.4,,100.6,,99.9,,100.3,,100.2,,100.5,,99.8,,100.4,,100.0,,,:
M,NETTUR_DOM,C22,SCA,I21,EL,112.3,i,111.3,i,113.5,i,107.6,i,113.4,i,108.3,i,106.0,i,112.2,i,105.6,i,119.3,i,120.4,i,122.1,i,116.7,i,112.8,i,109.2,i,120.5,i,107.9,i,108.7,i,118.7,i,106.4,i,116.0,i,117.2,i,117.0,i,131.3,i,120.3,p,119.2,p,118.7,p,115.4,p,118.1,p,121.3,p,119.7,p,105.9,p,114.9,p,116.5,p,114.1,p,,:
M,NETTUR_DOM,C22,SCA,I21,ES,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,:
M,NETTUR_DOM,C22,SCA,I21,EU27_2020,111.6,,110.7,,109.4,,107.5,,108.1,,106.1,,105.3,,105.0,,104.3,,105.7,,105.0,,104.8,,102.5,,104.8,,104.1,,102.9,,101.4,,101.9,,101.1,,101.6,,101.6,,101.8,,101.9,,100.4,,102.0,,101.3,,101.5,,101.8,,101.1,,101.1,,101.5,,101.0,,100.9,,101.0,,100.4,,,:
M,NETTUR_DOM,C22,SCA,I21,FI,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C
M,NETTUR_DOM,C22,SCA,I21,FR,114.4,i,111.6,i,113.4,i,111.1,i,114.7,i,109.9,i,110.4,i,109.0,i,108.8,i,108.5,i,108.3,p,111.6,p,108.0,p,109.0,p,106.7,p,108.2,p,104.7,p,105.2,p,104.4,p,107.4,p,105.2,p,105.7,p,104.5,p,104.7,p,103.7,p,104.5,p,104.3,p,104.3,p,102.9,p,105.2,p,104.2,p,106.9,p,104.3,p,105.8,p,105.2,p,,:
M,NETTUR_DOM,C22,SCA,I21,HU,86.2,i,83.0,i,85.1,i,76.0,i,82.6,i,88.5,i,78.1,i,84.1,i,80.1,i,82.1,i,83.9,i,76.2,i,80.1,i,82.7,i,72.9,i,79.4,i,78.9,i,77.0,i,79.7,i,72.5,i,71.9,i,74.2,i,72.5,i,72.0,i,84.3,i,82.5,i,79.6,i,82.4,i,77.0,i,76.4,i,80.9,i,72.3,i,79.5,i,75.9,i,74.6,i,,:
M,NETTUR_DOM,C22,SCA,I21,IE,128.9,,126.8,,128.8,,113.8,,118.5,,120.4,,124.7,,119.6,,116.7,,105.3,,126.1,,125.3,,122.8,,128.9,,125.2,,122.2,,126.4,,125.3,,134.1,,137.3,,137.2,,131.0,,134.9,,134.9,,141.4,,137.8,,131.3,,150.8,,179.5,,148.7,,138.2,,130.5,,141.0,,145.7,,137.7,,140.3,p
M,NETTUR_DOM,C22,SCA,I21,IT,109.6,,107.6,,106.8,,106.7,,106.4,,104.7,,103.4,,105.0,,102.9,,104.7,,103.3,,107.9,,101.5,,103.5,,102.1,,98.7,,100.2,,98.9,,99.4,,96.9,,99.1,,99.1,,99.5,,95.6,,101.2,,99.3,,98.2,,98.1,,97.6,,98.6,,97.4,,95.8,,97.5,,96.2,,96.1,,,:
M,NETTUR_DOM,C22,SCA,I21,LT,79.1,i,90.7,i,77.4,i,92.0,i,75.5,i,83.8,i,80.7,i,81.4,i,79.0,i,91.6,i,80.7,i,78.0,i,95.1,i,77.5,i,89.0,i,75.1,i,101.6,i,80.4,i,89.3,i,98.1,i,85.5,i,83.6,i,88.6,i,76.3,i,133.5,i,81.1,i,89.8,i,83.8,i,79.8,i,89.1,i,72.1,i,75.4,i,79.9,i,82.0,i,78.3,i,88.4,i
M,NETTUR_DOM,C22,SCA,I21,LV,134.1,,134.2,,121.6,,110.0,,130.1,,121.6,,117.5,,109.2,,126.9,,115.5,,110.9,,102.5,,106.0,,112.7,,122.8,,110.0,,100.8,,112.6,,109.8,,113.4,,119.0,,128.0,,134.1,,127.6,,138.9,,136.7,,131.3,,133.8,,127.2,,157.5,,130.0,,121.2,,125.2,,151.3,,135.6,,129.6,
M,NETTUR_DOM,C22,SCA,I21,MK,121.4,i,126.4,i,120.1,i,111.7,i,131.5,i,111.1,i,113.5,i,99.2,i,113.9,i,114.0,i,116.7,i,103.2,i,113.0,i,109.2,i,101.6,i,110.7,i,96.0,i,98.9,i,110.9,i,108.6,i,102.4,i,105.8,i,101.6,i,118.0,i,110.5,i,106.2,i,108.1,i,111.6,i,110.5,i,117.6,i,109.0,i,111.9,i,112.4,i,112.2,i,115.0,i,,:
