freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
M,NETTUR_NDOM,C11,SCA,I21,AT,166.4,155.6,150.4,111.3,126.9,136.1,146.9,131.5,135.5,144.8,138.2,152.4,132.2,151.3,150.7,147.9,145.8,146.4,143.3,141.8,145.4,140.6,151.1,141.2,156.9,153.8,152.2,152.2,154.2,155.1,156.0,168.4,167.1,156.7,143.2,155.7
M,NETTUR_NDOM,C11,SCA,I21,BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,NETTUR_NDOM,C11,SCA,I21,CZ,111.1,115.1,117.0,117.9,134.3,124.3,126.0,114.8,123.9,117.6,146.6,130.2,117.9,139.0,136.4,135.6,131.8,131.3,125.0,129.5,133.0,125.3,129.8,128.7,141.3,120.9,127.1,126.9,118.9,123.6,130.1,118.6,125.6,124.7,123.1,136.3
M,NETTUR_NDOM,C11,SCA,I21,DE,129.1,121.9,126.5,113.3,113.7,114.0,113.0,116.3,115.2,121.3,120.8,117.0,115.6,115.3,115.6,120.9,121.0,115.7,111.0,118.1,120.1,117.8,124.1,129.0,114.4,113.4,110.8,112.0,116.6,115.3,117.3,112.2,119.0,111.8,111.3,115.5
M,NETTUR_NDOM,C11,SCA,I21,DK,115.5,119.3,124.8,122.7,138.4,137.1,115.2,134.9,130.3,133.7,134.3,138.8,138.1,141.6,143.9,156.4,143.2,140.8,155.7,130.0,143.8,140.7,142.1,130.8,153.8,144.6,139.8,143.3,141.1,138.7,142.6,137.9,135.7,136.7,142.6,140.0
M,NETTUR_NDOM,C11,SCA,I21,EA19,129.4,126.9,125.1,116.9,120.8,121.4,123.7,119.7,118.6,119.9,120.4,123.5,118.7,124.1,123.9,123.6,120.3,121.0,117.6,120.2,,,,,,,,,,,,,,,,
M,NETTUR_NDOM,C11,SCA,I21,EA20,127.0,127.2,125.9,117.2,121.4,122.3,124.3,119.3,118.5,121.3,120.4,126.1,117.4,124.1,124.4,124.2,120.6,121.9,119.2,120.5,123.2,122.2,122.4,118.9,122.2,120.8,121.0,120.1,121.4,120.5,120.9,120.5,121.1,117.9,116.4,
M,NETTUR_NDOM,C11,SCA,I21,EA21,127.0,127.2,125.9,117.2,121.4,122.3,124.3,119.3,118.5,121.3,120.4,126.1,117.4,124.1,124.4,124.2,120.6,121.9,119.2,120.5,123.2,122.2,122.4,118.9,122.2,120.8,121.0,120.1,121.4,120.5,120.9,120.5,121.1,117.9,116.4,
M,NETTUR_NDOM,C11,SCA,I21,EL,124.5,104.6,140.5,120.2,123.5,121.6,111.4,121.1,115.5,127.4,129.1,133.9,140.4,142.9,119.3,136.6,125.9,128.7,121.3,108.3,155.3,132.6,128.2,123.3,128.6,138.3,114.9,140.0,129.7,124.4,130.4,143.6,108.4,146.5,135.6,
M,NETTUR_NDOM,C11,SCA,I21,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
