freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01_value,2023-01_flag,2023-02_value,2023-02_flag,2023-03_value,2023-03_flag,2023-04_value,2023-04_flag,2023-05_value,2023-05_flag,2023-06_value,2023-06_flag,2023-07_value,2023-07_flag,2023-08_value,2023-08_flag,2023-09_value,2023-09_flag,2023-10_value,2023-10_flag,2023-11_value,2023-11_flag,2023-12_value,2023-12_flag,2024-01_value,2024-01_flag,2024-02_value,2024-02_flag,2024-03_value,2024-03_flag,2024-04_value,2024-04_flag,2024-05_value,2024-05_flag,2024-06_value,2024-06_flag,2024-07_value,2024-07_flag,2024-08_value,2024-08_flag,2024-09_value,2024-09_flag,2024-10_value,2024-10_flag,2024-11_value,2024-11_flag,2024-12_value,2024-12_flag,2025-01_value,2025-01_flag,2025-02_value,2025-02_flag,2025-03_value,2025-03_flag,2025-04_value,2025-04_flag,2025-05_value,2025-05_flag,2025-06_value,2025-06_flag,2025-07_value,2025-07_flag,2025-08_value,2025-08_flag,2025-09_value,2025-09_flag,2025-10_value,2025-10_flag,2025-11_value,2025-11_flag,2025-12_value,2025-12_flag
M,NETTUR_NDOM,C17,SCA,I21,AT,113.3,,108.3,,106.3,,101.3,,101.5,,101.1,,99.5,,98.2,,95.8,,100.0,,102.9,,103.4,,103.1,,100.5,,102.3,,107.9,,111.2,,108.7,,107.6,,107.5,,107.9,,108.2,,105.4,,101.2,,109.1,,106.6,,105.8,,105.5,,104.3,,101.5,,102.8,,99.0,,97.8,,98.1,,98.0,,95.6,p
M,NETTUR_NDOM,C17,SCA,I21,BE,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,:
M,NETTUR_NDOM,C17,SCA,I21,CZ,114.0,i,120.0,i,114.4,i,116.8,i,111.5,i,113.3,i,110.6,i,115.2,i,114.8,i,121.8,i,112.5,i,125.3,i,120.9,i,125.2,i,127.9,i,125.1,i,125.8,i,124.2,i,124.0,i,125.0,i,120.6,i,122.6,i,124.3,i,134.7,i,128.1,i,126.4,i,125.7,i,129.6,i,127.1,i,124.6,i,123.9,i,123.4,i,124.3,i,120.4,i,120.6,i,117.5,i
M,NETTUR_NDOM,C17,SCA,I21,DE,118.5,,117.0,,111.6,,107.8,,108.2,,104.9,,104.1,,101.0,,102.5,,101.3,,102.3,,102.0,,103.1,,104.5,,105.5,,106.5,,106.6,,104.3,,104.5,,104.6,,103.3,,105.3,,103.5,,102.8,,104.3,,107.5,,104.0,,105.5,,103.6,,101.5,,101.7,,97.6,,96.0,,97.7,,94.9,,100.8,
M,NETTUR_NDOM,C17,SCA,I21,DK,99.5,,105.6,,100.4,,96.7,,80.3,,89.5,,88.8,,84.0,,86.7,,89.9,,82.5,,86.8,,87.5,,99.4,,83.1,,89.1,,92.6,,93.1,,92.9,,92.4,,82.3,,87.3,,91.9,,90.5,,84.4,,87.1,,86.8,,101.5,,92.2,,90.5,,91.2,,116.4,,138.4,,133.5,,141.9,,133.9,
M,NETTUR_NDOM,C17,SCA,I21,EA19,115.7,,111.7,,109.5,,107.4,,104.4,,102.4,,102.7,,101.5,,101.6,,99.2,,102.6,,103.8,,106.3,,107.4,,105.0,,107.2,,109.6,,108.3,,106.7,,107.9,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,NETTUR_NDOM,C17,SCA,I21,EA20,115.9,,111.9,,108.6,,107.0,,104.6,,103.2,,103.1,,102.1,,102.8,,99.9,,103.3,,105.0,,106.7,,107.5,,103.6,,106.8,,110.0,,109.6,,107.8,,108.5,,106.5,,109.7,,109.1,,105.6,,109.5,,110.9,,108.8,,107.4,,106.1,,103.1,,104.1,,102.3,,100.6,,100.9,,100.2,,,:
M,NETTUR_NDOM,C17,SCA,I21,EA21,115.9,,111.9,,108.6,,107.0,,104.6,,103.2,,103.1,,102.1,,102.8,,99.9,,103.3,,105.0,,106.7,,107.5,,103.6,,106.8,,110.0,,109.6,,107.8,,108.5,,106.5,,109.7,,109.1,,105.6,,109.5,,110.9,,108.8,,107.4,,106.1,,103.1,,104.1,,102.3,,100.6,,100.9,,100.2,,,:
M,NETTUR_NDOM,C17,SCA,I21,EL,133.1,i,137.0,i,131.8,i,119.7,i,128.5,i,120.6,i,118.3,i,124.4,i,122.0,i,130.2,i,121.8,i,123.8,i,130.8,i,120.3,i,115.9,i,124.4,i,124.8,i,125.7,i,124.4,i,129.2,i,123.7,i,110.8,i,127.0,i,128.1,i,126.7,p,119.9,p,123.7,p,121.1,p,118.7,p,128.6,p,129.6,p,130.3,p,121.6,p,133.6,p,128.4,p,,:
M,NETTUR_NDOM,C17,SCA,I21,ES,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,: @C,,:
