freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
M,PRD,H,SCA,I21,AT,112.7,113.1,112.2,111.5,111.9,112.0,112.2,108.8,111.0,110.0,109.0,110.6,108.9,108.1,108.5,108.1,107.7,106.9,108.4,109.2,107.6,108.0,110.5,109.2,111.4,110.3,110.2,109.7,109.0,108.5,109.6,107.6,107.3,109.0,109.0,
M,PRD,H,SCA,I21,BE,111.3,113.9,111.7,111.9,110.4,108.9,110.6,107.6,109.5,107.4,107.6,108.1,107.2,109.7,107.2,108.6,108.3,108.1,110.2,106.9,106.7,107.0,105.5,105.9,105.5,114.5,105.1,112.0,105.2,107.0,114.2,107.0,106.0,103.6,102.9,
M,PRD,H,SCA,I21,BG,109.9,108.7,110.4,104.2,110.7,108.4,104.3,109.6,108.0,111.3,108.6,107.1,109.1,111.3,111.3,117.2,110.8,109.7,113.0,109.5,109.9,114.0,109.9,114.9,115.0,120.7,110.9,111.9,112.3,112.0,109.1,110.3,111.9,113.5,115.5,
M,PRD,H,SCA,I21,CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,PRD,H,SCA,I21,CZ,106.5,105.9,103.8,102.8,102.3,102.5,101.4,100.4,102.0,100.4,101.3,101.2,102.6,103.7,104.1,104.7,104.6,104.9,106.2,106.6,105.6,106.6,106.2,107.4,106.9,106.3,106.7,106.7,107.2,107.3,106.7,107.2,107.6,108.2,108.3,108.6
M,PRD,H,SCA,I21,DE,108.2,109.5,111.8,111.3,112.6,112.6,112.5,111.3,110.2,110.2,110.0,107.5,105.9,109.5,109.8,111.0,109.3,107.9,107.7,107.8,108.7,109.7,111.2,110.4,111.9,112.3,112.4,112.7,112.4,111.9,113.3,113.7,112.0,111.1,110.5,
M,PRD,H,SCA,I21,DK,112.2,104.2,118.3,131.6,122.3,146.1,152.4,140.7,122.8,123.8,118.6,115.5,111.6,111.0,119.7,114.4,110.0,101.0,110.4,113.6,113.1,123.7,116.9,115.7,118.7,108.3,114.4,114.9,132.1,120.9,124.9,112.8,98.4,88.6,80.8,
M,PRD,H,SCA,I21,EA19,111.9,111.0,112.5,110.9,112.4,112.2,111.5,111.7,110.5,111.0,111.1,112.4,111.3,112.9,112.3,114.2,113.0,112.6,114.3,,,,,,,,,,,,,,,,,
M,PRD,H,SCA,I21,EA20,111.1,110.3,112.5,110.7,112.2,111.7,111.0,110.6,110.0,110.2,110.5,111.3,109.9,111.5,110.8,113.7,111.8,110.3,111.9,112.0,111.7,112.7,113.4,114.0,114.3,114.7,114.0,114.9,114.1,114.2,115.2,114.6,114.9,114.1,113.3,
M,PRD,H,SCA,I21,EA21,111.1,110.3,112.5,110.6,112.2,111.7,111.0,110.6,110.0,110.2,110.5,111.3,109.9,111.5,110.8,113.7,111.8,110.3,111.9,112.0,111.7,112.7,113.4,114.0,114.3,114.7,114.0,114.9,114.0,114.2,115.1,114.6,114.8,114.1,113.3,
M,PRD,H,SCA,I21,EE,98.0,92.0,95.3,96.2,92.9,82.6,77.4,81.6,77.7,82.4,84.0,77.7,84.9,87.7,84.8,87.9,81.6,87.7,84.7,85.5,76.3,89.6,82.6,89.0,84.6,83.5,85.6,88.3,90.2,84.6,84.6,82.2,91.4,78.4,78.8,
M,PRD,H,SCA,I21,EL,122.7,113.9,122.1,116.2,122.2,120.2,116.0,118.3,112.6,118.2,119.5,116.6,114.2,121.3,118.4,127.7,126.9,122.9,132.1,128.5,131.1,129.9,129.1,123.8,128.5,128.4,124.6,128.9,126.6,128.6,126.7,124.3,127.8,126.1,124.3,
M,PRD,H,SCA,I21,ES,113.9,113.2,120.0,114.3,114.1,112.6,111.5,112.6,111.9,112.0,113.8,115.1,113.9,116.7,115.1,119.1,116.0,115.8,116.0,116.1,117.4,118.9,116.9,118.7,121.0,121.0,121.3,118.3,118.1,117.0,120.8,119.6,119.2,120.2,119.6,
M,PRD,H,SCA,I21,EU27_2020,111.0,110.0,112.4,111.4,112.1,112.8,112.5,111.5,110.3,110.4,110.5,111.0,109.7,111.3,110.8,113.1,111.5,109.5,111.3,111.7,111.2,112.7,113.0,113.4,114.0,113.8,113.4,114.3,114.3,114.0,115.1,114.1,113.5,112.4,111.4,
M,PRD,H,SCA,I21,FI,98.6,95.5,97.7,97.2,98.1,97.5,95.5,95.3,96.0,95.8,95.0,95.0,96.7,97.5,95.5,97.0,97.5,96.0,97.3,97.7,95.8,96.7,96.5,97.1,98.3,98.7,98.2,97.0,96.9,96.6,95.6,96.4,95.5,94.7,95.6,94.8
