freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
M,PRD,H52,SCA,I21,AT,111.2,109.7,108.3,107.4,108.2,105.8,107.1,101.4,104.1,101.7,101.1,99.7,101.0,102.5,101.7,99.3,99.5,98.0,100.1,102.2,103.3,101.2,101.9,100.5,104.4,104.1,105.1,103.6,102.3,102.2,103.0,102.4,97.7,101.1,100.7,
M,PRD,H52,SCA,I21,BE,111.9,111.2,107.3,108.3,107.9,108.9,106.6,100.0,106.3,103.9,105.4,105.8,105.8,108.4,106.6,105.5,109.5,109.1,110.8,109.3,105.1,105.8,106.4,100.7,104.5,110.8,108.3,109.0,108.5,104.9,110.7,110.8,109.4,104.5,106.5,
M,PRD,H52,SCA,I21,BG,108.6,109.5,104.9,99.7,109.4,107.3,100.6,104.9,105.2,110.6,110.6,107.7,105.0,103.9,109.2,111.3,103.8,100.9,107.0,103.6,103.1,104.7,102.1,107.1,113.6,137.0,107.0,110.6,105.1,102.7,103.5,100.9,104.7,108.5,108.9,
M,PRD,H52,SCA,I21,CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,PRD,H52,SCA,I21,CZ,107.4,106.7,105.6,103.9,103.5,103.5,104.2,102.0,103.9,103.1,103.1,104.7,105.9,108.4,109.6,110.0,109.3,110.5,112.2,112.7,112.0,113.3,113.0,113.9,114.2,113.3,112.9,113.5,114.9,114.6,112.9,114.6,114.6,115.3,116.4,116.2
M,PRD,H52,SCA,I21,DE,97.5,101.9,103.0,101.8,104.6,103.6,103.5,102.2,102.7,102.9,103.3,101.9,98.8,103.0,103.8,102.1,101.9,100.0,102.2,103.0,103.6,102.8,103.8,101.4,101.7,103.6,104.1,105.7,104.1,103.9,104.2,103.8,103.0,102.5,101.2,
M,PRD,H52,SCA,I21,DK,104.2,100.0,104.7,98.8,99.0,101.7,91.2,93.4,93.8,88.2,92.8,87.5,91.5,94.3,90.3,94.2,93.2,90.3,97.0,93.8,96.1,96.7,94.4,91.2,96.5,94.2,92.3,93.4,92.4,90.9,92.7,91.8,92.1,90.9,86.9,
M,PRD,H52,SCA,I21,EA19,105.9,105.7,106.1,104.6,106.1,105.1,105.1,104.1,103.6,103.8,103.8,103.5,103.9,107.2,106.9,107.9,106.8,106.5,107.7,,,,,,,,,,,,,,,,,
M,PRD,H52,SCA,I21,EA20,105.7,105.3,106.1,104.2,106.2,105.3,105.0,103.8,103.5,103.6,103.8,103.6,102.6,105.1,105.1,105.2,104.6,103.4,105.1,105.7,106.7,106.1,106.5,105.3,106.2,107.2,106.6,107.9,106.9,107.3,107.7,107.3,106.7,106.6,105.9,
M,PRD,H52,SCA,I21,EA21,105.7,105.3,106.1,104.2,106.2,105.3,105.0,103.8,103.5,103.6,103.8,103.6,102.6,105.1,105.1,105.2,104.6,103.4,105.1,105.7,106.7,106.1,106.5,105.3,106.2,107.3,106.6,107.9,106.9,107.3,107.7,107.3,106.7,106.6,105.9,
