freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
M,NETTUR,G4711,SCA,I21,AL,126.2,123.8,127.9,130.8,128.3,129.8,132.1,131.5,133.4,131.7,134.7,140.1,134.8,138.6,136.4,137.7,140.2,141.0,142.7,142.3,142.2,144.4,144.4,156.7,146.8,146.4,149.6,150.6,151.2,153.6,153.2,155.7,154.9,,,
M,NETTUR,G4711,SCA,I21,AT,109.3,110.9,112.0,109.8,112.2,119.4,115.3,116.0,117.0,114.6,114.4,113.4,115.0,115.3,115.1,116.2,119.6,116.8,118.9,120.6,120.2,122.1,121.0,121.3,120.3,121.5,122.3,124.2,123.9,126.5,125.3,125.0,125.4,124.1,121.1,
M,NETTUR,G4711,SCA,I21,BE,107.7,108.3,107.9,106.6,108.4,111.4,111.2,108.9,112.0,111.4,111.8,109.3,110.9,108.2,109.7,112.3,109.1,108.7,109.5,111.9,113.4,113.0,112.1,111.2,111.8,113.4,111.5,112.1,110.8,113.3,110.2,112.9,113.1,111.5,112.9,110.5
M,NETTUR,G4711,SCA,I21,BG,128.6,129.8,130.9,129.2,132.0,133.9,135.7,136.5,137.1,138.0,139.1,143.3,144.8,148.7,146.9,148.0,148.4,150.5,154.8,154.3,155.7,158.1,161.4,161.0,157.9,155.1,157.1,158.0,159.3,162.4,166.5,165.3,165.6,166.7,165.4,163.0
M,NETTUR,G4711,SCA,I21,CZ,115.4,113.9,113.2,111.6,112.4,113.6,113.3,113.9,113.0,113.4,113.8,113.5,114.8,114.7,114.8,115.6,116.5,115.0,116.6,117.1,118.2,118.6,118.4,119.7,120.3,120.3,120.4,122.6,119.8,121.2,121.4,120.9,121.0,121.1,121.6,121.7
M,NETTUR,G4711,SCA,I21,DE,109.8,111.1,109.1,112.3,113.0,112.3,114.0,112.4,115.4,112.8,113.0,112.6,113.8,112.7,114.1,114.3,114.1,116.0,115.3,117.7,117.0,117.4,118.1,116.4,117.7,119.4,120.2,120.4,120.4,120.4,119.8,120.7,120.9,122.9,119.7,121.3
M,NETTUR,G4711,SCA,I21,DK,106.7,106.6,107.4,110.5,112.0,110.3,106.9,108.6,108.2,107.4,107.1,107.1,106.6,106.8,107.2,106.9,107.1,108.3,107.1,108.5,111.0,108.7,108.8,108.9,109.6,110.6,109.9,109.7,110.3,109.2,110.5,111.5,111.2,112.2,113.0,112.2
M,NETTUR,G4711,SCA,I21,EA19,111.5,112.4,112.4,113.5,114.0,115.0,115.3,115.2,116.8,115.6,115.7,115.0,115.5,114.8,116.1,115.7,116.6,115.9,116.3,,,,,,,,,,,,,,,,,
M,NETTUR,G4711,SCA,I21,EA20,111.9,112.8,112.4,113.5,114.3,114.9,115.7,115.2,117.0,115.8,116.1,115.8,116.0,115.9,116.5,116.3,117.2,116.6,117.2,118.6,118.4,118.9,119.2,118.6,119.5,120.0,120.4,121.5,121.2,122.2,121.7,122.4,122.4,123.1,122.5,123.0
M,NETTUR,G4711,SCA,I21,EA21,112.0,112.9,112.6,113.6,114.5,115.1,115.9,115.4,117.2,116.0,116.3,116.0,116.3,116.1,116.8,116.6,117.4,116.9,117.6,118.9,118.7,119.2,119.6,119.0,119.8,120.4,120.7,121.8,121.6,122.5,122.1,122.8,122.8,123.4,122.9,123.3
M,NETTUR,G4711,SCA,I21,EL,114.0,115.3,106.7,115.1,113.5,113.0,117.9,117.4,121.0,117.7,118.0,125.9,116.2,116.7,123.9,113.5,129.9,122.8,123.4,123.4,127.4,122.5,125.2,118.3,124.0,125.3,125.1,127.8,126.2,128.8,128.7,130.6,124.2,130.0,129.7,
M,NETTUR,G4711,SCA,I21,ES,120.2,120.0,121.5,123.7,125.1,125.1,126.7,127.9,128.2,128.1,128.9,130.9,128.3,130.3,128.9,130.2,130.4,130.4,132.4,133.1,132.5,134.1,134.0,135.0,134.8,134.5,136.7,137.9,138.8,140.3,140.8,140.9,141.9,142.1,142.5,144.0
M,NETTUR,G4711,SCA,I21,EU27_2020,113.3,114.2,113.9,114.9,116.1,116.7,117.1,116.8,118.6,117.4,117.6,117.4,118.0,117.8,118.5,117.7,119.1,118.5,119.1,120.7,120.4,121.1,121.4,120.8,121.5,121.9,121.9,123.4,123.2,123.9,123.8,124.5,124.3,125.1,124.6,125.1
M,NETTUR,G4711,SCA,I21,FI,108.8,109.6,109.3,110.5,110.0,110.4,109.8,110.6,111.6,110.9,110.9,109.4,111.2,110.5,110.4,109.4,112.0,111.6,110.2,111.2,111.4,111.4,111.5,113.2,111.6,112.5,112.3,113.4,111.4,111.2,114.5,113.9,113.3,114.0,114.9,116.4
