freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
M,NETTUR,G47_FOOD,SCA,I21,AL,114.8,112.2,113.4,114.1,116.5,115.0,119.1,116.0,118.4,117.1,119.7,123.8,122.9,124.5,124.4,121.5,126.2,129.0,127.6,126.9,126.6,142.9,143.2,153.2,133.1,132.6,134.5,148.4,149.8,152.3,151.7,154.3,153.6,153.6,154.9,155.8
M,NETTUR,G47_FOOD,SCA,I21,AT,110.2,111.3,111.9,109.7,112.1,118.2,115.2,115.8,116.7,114.9,114.2,113.6,115.6,115.4,115.3,116.5,119.7,116.4,118.9,120.4,120.5,122.1,121.1,121.5,120.9,122.0,122.7,123.8,123.5,126.6,124.9,125.4,125.5,124.3,121.9,126.6
M,NETTUR,G47_FOOD,SCA,I21,BA,131.4,129.4,133.4,140.5,138.4,140.4,138.7,141.0,141.9,141.2,143.2,144.3,,,,,,,,,,,,,,,,,,,,,,,,
M,NETTUR,G47_FOOD,SCA,I21,BE,107.3,107.9,108.0,106.9,108.3,111.2,110.9,109.0,111.8,111.1,111.7,109.1,110.8,108.7,109.6,111.5,109.3,108.5,109.4,111.6,112.9,112.7,111.3,110.9,111.6,112.5,111.0,112.2,110.6,113.0,110.4,112.6,112.3,111.5,112.6,111.6
M,NETTUR,G47_FOOD,SCA,I21,BG,128.5,129.7,130.9,128.9,132.0,133.5,134.7,135.9,136.5,137.4,138.7,142.0,144.3,148.0,146.0,147.5,147.6,150.0,154.3,154.0,154.6,157.2,160.2,160.1,156.3,154.4,156.5,157.5,158.6,161.1,164.4,163.3,164.8,166.0,164.4,162.5
M,NETTUR,G47_FOOD,SCA,I21,CH,99.2,99.6,99.4,97.3,100.8,101.7,99.0,99.8,99.9,99.5,99.1,97.5,99.7,99.9,99.9,99.3,99.7,97.8,101.4,102.0,100.4,100.3,100.7,99.7,100.1,99.8,100.0,99.8,98.7,100.9,100.4,100.5,101.3,100.0,99.3,100.8
M,NETTUR,G47_FOOD,SCA,I21,CY,117.3,121.1,119.1,122.1,121.2,120.5,122.4,121.6,123.5,125.2,122.9,122.2,126.5,124.8,128.7,125.4,128.6,130.4,131.9,133.6,134.3,133.1,137.2,136.1,133.9,138.9,138.0,138.9,141.1,141.6,140.5,141.8,144.5,143.6,147.0,147.0
M,NETTUR,G47_FOOD,SCA,I21,CZ,115.2,113.8,113.0,111.6,112.4,113.5,113.3,113.7,113.0,113.3,113.6,113.3,114.3,114.2,114.5,115.1,116.0,114.7,116.2,116.7,117.7,118.0,118.0,119.3,120.0,120.0,120.1,122.2,119.7,121.0,121.0,120.7,120.7,121.0,121.5,121.5
M,NETTUR,G47_FOOD,SCA,I21,DE,108.9,110.2,107.7,112.4,113.1,111.8,113.4,111.6,114.3,112.2,112.3,112.5,113.3,111.8,114.0,113.1,114.1,115.4,114.7,117.0,116.1,116.7,117.5,116.5,117.2,118.5,119.4,120.0,119.8,119.9,118.9,119.7,119.9,121.8,119.2,121.0
M,NETTUR,G47_FOOD,SCA,I21,DK,106.4,106.3,106.7,111.3,112.3,110.4,108.4,108.6,108.4,107.4,106.9,107.2,106.7,106.3,106.9,107.8,107.5,108.8,108.5,108.6,111.1,109.2,109.1,109.3,110.0,111.1,110.6,110.9,111.5,110.8,112.2,112.7,112.0,112.8,113.9,112.8
M,NETTUR,G47_FOOD,SCA,I21,EA19,111.4,112.2,112.0,113.2,113.7,114.5,115.0,114.7,115.9,115.3,115.4,114.6,115.4,114.8,116.0,115.3,116.5,115.6,116.0,116.3,,,,,,,,,,,,,,,,
