freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
M,NETTUR,G47_NFOOD_X_G473,SCA,I21,AL,125.5,124.1,127.4,129.4,128.2,129.4,132.1,131.6,132.9,132.0,134.0,139.0,135.4,137.7,136.4,137.8,138.7,140.1,141.7,142.1,141.6,126.2,129.4,135.3,145.5,146.3,149.0,135.8,132.6,136.6,137.1,135.6,133.7,135.8,136.5,142.7
M,NETTUR,G47_NFOOD_X_G473,SCA,I21,AT,106.8,108.3,108.5,108.0,107.8,111.1,108.8,108.0,106.9,107.9,108.7,105.7,107.2,108.9,108.9,109.5,108.3,107.9,109.3,109.4,110.4,110.5,113.2,111.0,110.8,110.7,110.5,110.5,111.0,111.6,111.3,111.6,111.8,112.5,111.4,111.8
M,NETTUR,G47_NFOOD_X_G473,SCA,I21,BA,124.9,122.0,123.9,124.0,126.4,128.1,130.6,129.2,127.6,129.6,135.5,132.9,,,,,,,,,,,,,,,,,,,,,,,,
M,NETTUR,G47_NFOOD_X_G473,SCA,I21,BE,103.9,104.4,104.6,106.9,105.9,107.3,106.6,105.2,103.3,106.0,108.2,106.0,104.0,106.2,105.0,104.4,105.5,104.1,106.3,106.8,108.9,107.0,104.9,107.4,107.6,105.5,109.1,109.6,107.0,107.3,109.6,109.5,109.9,109.4,107.5,108.2
M,NETTUR,G47_NFOOD_X_G473,SCA,I21,BG,134.9,132.8,132.9,123.5,135.5,133.3,132.9,133.9,133.5,134.9,136.2,133.4,135.9,137.7,136.5,139.2,137.6,140.4,142.1,141.1,142.7,144.0,146.6,147.6,146.5,144.6,146.2,149.9,153.9,156.3,157.3,156.4,160.2,162.0,161.1,169.3
M,NETTUR,G47_NFOOD_X_G473,SCA,I21,CH,102.2,104.4,104.4,101.4,104.4,105.8,103.0,103.7,102.1,102.3,103.7,103.1,103.1,104.2,101.9,104.1,103.6,100.6,103.5,104.0,104.0,103.9,103.2,103.9,105.7,104.8,105.0,104.3,103.8,105.9,106.4,105.4,106.6,106.7,107.0,107.6
M,NETTUR,G47_NFOOD_X_G473,SCA,I21,CY,121.6,122.6,125.4,124.1,125.7,126.9,128.7,126.3,127.1,126.6,127.2,128.8,128.3,129.7,128.4,131.3,129.4,131.4,130.8,132.7,133.7,133.3,136.2,136.3,130.2,136.5,138.0,137.5,139.4,139.9,140.5,141.7,141.5,143.2,143.9,144.8
M,NETTUR,G47_NFOOD_X_G473,SCA,I21,CZ,108.7,109.2,107.5,108.1,110.0,109.6,110.0,110.2,109.4,112.0,112.3,112.3,114.0,115.1,115.0,115.9,114.4,115.9,117.5,117.8,118.4,118.2,118.3,120.9,119.5,119.5,121.7,121.9,122.3,123.2,122.8,123.5,123.6,124.1,124.7,124.6
M,NETTUR,G47_NFOOD_X_G473,SCA,I21,DE,108.9,109.6,108.8,109.1,112.4,111.9,110.9,110.7,106.2,110.3,109.9,109.3,108.9,109.6,110.2,111.7,111.7,108.9,112.1,112.9,115.1,114.4,114.4,115.5,115.7,116.0,117.5,117.2,116.7,118.2,119.1,117.2,117.4,117.5,117.8,117.1
M,NETTUR,G47_NFOOD_X_G473,SCA,I21,DK,98.4,100.5,98.7,99.0,100.7,101.7,98.7,103.1,101.7,100.9,102.7,103.5,102.2,102.9,102.9,104.6,104.0,103.3,104.4,104.5,105.0,107.6,105.7,107.4,108.0,108.9,109.1,109.5,111.0,111.0,112.9,112.7,113.8,114.4,116.6,115.0
M,NETTUR,G47_NFOOD_X_G473,SCA,I21,EA19,111.2,111.3,111.4,111.7,112.3,112.8,112.5,112.0,111.3,112.1,112.6,112.0,112.1,112.8,112.8,113.6,113.6,113.6,113.6,114.0,,,,,,,,,,,,,,,,
M,NETTUR,G47_NFOOD_X_G473,SCA,I21,EA20,111.3,111.5,111.4,111.5,112.7,113.1,112.7,112.2,110.5,112.1,113.0,112.3,112.4,113.3,113.2,113.7,113.8,112.6,114.1,115.4,116.5,115.7,115.6,116.3,116.4,116.6,117.5,117.5,117.7,118.3,119.0,118.6,118.9,119.2,119.7,118.4
M,NETTUR,G47_NFOOD_X_G473,SCA,I21,EA21,111.5,111.7,111.5,111.6,112.9,113.2,112.9,112.4,110.7,112.3,113.2,112.4,112.6,113.5,113.4,113.9,113.9,112.9,114.3,115.6,116.7,115.9,115.8,116.5,116.6,116.8,117.8,117.7,118.0,118.6,119.3,118.9,119.3,119.5,120.0,118.8
M,NETTUR,G47_NFOOD_X_G473,SCA,I21,EE,111.0,110.0,110.7,114.3,109.2,108.3,109.0,107.8,109.0,106.7,107.1,106.0,100.4,102.7,107.9,107.4,104.6,102.0,104.9,106.9,105.0,108.7,112.0,114.4,108.2,110.6,113.4,116.1,111.8,114.4,111.3,108.2,112.2,114.7,114.6,115.8
M,NETTUR,G47_NFOOD_X_G473,SCA,I21,EL,118.3,117.5,114.0,114.8,113.1,113.0,116.1,116.5,113.8,114.8,116.8,120.1,113.2,115.1,119.3,116.6,122.8,119.3,117.8,116.1,120.4,117.4,120.8,118.9,120.9,121.7,122.8,123.4,122.1,124.3,125.1,125.3,124.4,127.1,125.7,
M,NETTUR,G47_NFOOD_X_G473,SCA,I21,ES,120.5,118.4,120.5,121.3,120.1,121.1,121.7,121.1,121.3,121.8,125.0,122.4,124.1,123.5,123.9,123.9,123.5,123.4,124.8,125.4,126.5,127.2,125.2,129.5,126.8,128.9,128.3,129.2,130.2,131.8,131.6,132.7,133.0,133.5,135.7,134.4
M,NETTUR,G47_NFOOD_X_G473,SCA,I21,EU27_2020,112.3,112.3,112.2,112.4,113.6,113.9,113.6,113.3,111.9,113.4,114.3,113.8,113.7,114.7,114.7,115.1,115.1,114.3,115.8,116.9,117.8,117.5,117.4,118.2,118.3,118.4,119.3,119.6,119.5,120.3,121.0,120.6,121.1,121.4,121.9,120.9
M,NETTUR,G47_NFOOD_X_G473,SCA,I21,FI,102.4,102.7,101.9,103.0,102.4,102.2,101.7,100.8,101.5,101.6,101.2,99.9,100.0,100.1,100.9,99.4,101.6,100.4,100.9,101.8,99.7,100.0,100.4,101.8,101.7,102.2,102.3,102.9,101.5,101.9,102.0,102.4,103.1,104.1,104.6,104.5
