freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
M,NETTUR,G47_NF_HLTH,SCA,I21,AT,104.2,106.9,102.8,108.1,107.3,108.2,107.9,106.9,106.7,106.9,109.1,106.5,,,,,,,,,,,,,,,,,,,,,,,,
M,NETTUR,G47_NF_HLTH,SCA,I21,BE,106.8,108.7,107.9,109.7,108.6,110.9,111.8,111.0,113.0,113.1,114.7,122.6,113.2,114.5,113.9,117.3,116.4,118.3,117.5,118.5,121.2,116.3,118.2,118.9,120.2,122.8,121.7,122.4,123.0,121.2,124.5,128.8,129.0,125.9,124.0,125.4
M,NETTUR,G47_NF_HLTH,SCA,I21,DK,110.3,122.2,122.5,129.0,128.1,130.3,129.3,128.1,132.9,125.0,132.3,,,,,,,,,,,,,,,,,,,,,,,,,
M,NETTUR,G47_NF_HLTH,SCA,I21,EL,119.1,120.8,102.3,114.9,112.9,116.1,116.0,117.3,114.0,115.3,116.1,122.0,114.5,116.2,118.2,119.9,128.3,122.0,121.1,122.2,126.5,125.1,129.4,123.5,128.1,128.8,130.2,131.4,130.8,133.9,135.6,135.2,131.4,133.8,132.5,
M,NETTUR,G47_NF_HLTH,SCA,I21,ES,107.3,108.7,110.5,109.3,109.8,108.9,109.6,111.0,111.4,112.1,113.6,114.4,,,,,,,,,,,,,,,,,,,,,,,,
M,NETTUR,G47_NF_HLTH,SCA,I21,FI,103.6,104.9,104.7,108.1,108.9,107.4,106.8,107.4,108.5,108.0,111.2,111.0,,,,,,,,,,,,,,,,,,,,,,,,
M,NETTUR,G47_NF_HLTH,SCA,I21,HR,116.1,118.2,117.8,123.3,126.3,127.9,128.6,130.2,133.9,137.1,139.5,142.8,148.6,151.6,152.5,153.3,157.2,152.4,153.7,160.8,159.8,160.8,163.1,161.5,161.7,163.4,164.6,167.3,168.6,170.7,172.6,173.3,175.0,176.6,176.1,181.5
M,NETTUR,G47_NF_HLTH,SCA,I21,IE,112.2,110.2,113.3,110.1,110.8,111.2,106.9,110.9,108.6,108.3,110.6,112.9,113.2,110.9,112.0,110.1,110.3,113.3,111.2,112.1,110.8,110.2,110.0,112.0,113.2,115.0,114.2,115.7,116.1,114.8,115.7,115.5,115.4,115.9,116.2,114.3
M,NETTUR,G47_NF_HLTH,SCA,I21,IT,108.1,107.9,107.3,107.4,107.3,107.9,107.3,107.8,107.6,107.8,107.6,108.0,,,,,,,,,,,,,,,,,,,,,,,,
M,NETTUR,G47_NF_HLTH,SCA,I21,NO,115.6,117.8,119.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,NETTUR,G47_NF_HLTH,SCA,I21,PT,108.8,113.4,115.1,115.6,115.2,115.2,115.4,115.8,116.6,113.4,114.1,121.2,115.0,115.2,118.7,120.6,121.1,121.8,117.6,126.2,122.5,121.8,124.4,124.4,126.9,129.0,129.3,126.4,133.2,133.6,132.2,139.0,138.4,137.0,135.2,137.6
M,NETTUR,G47_NF_HLTH,SCA,I21,RO,129.9,125.1,125.1,125.6,138.2,136.2,136.9,142.7,145.4,142.5,144.2,146.3,,,,,,,,,,,,,,,,,,,,,,,,
M,NETTUR,G47_NF_HLTH,SCA,I21,SE,107.3,111.2,112.3,113.3,116.6,116.6,115.3,117.1,117.0,118.8,119.4,120.5,122.0,121.2,122.9,128.7,126.9,123.4,127.3,129.1,,,,,,,,,,,,,,,,
M,NETTUR,G47_NF_HLTH,SCA,I21,TR,300.0,264.0,289.7,312.2,320.4,331.4,376.9,385.0,410.0,433.2,442.6,466.7,,,,,,,,,,,,,,,,,,,,,,,,
